State,City,clinic_firsttime_qty,clinic_total_revenue,clinic_pincodes
-,-,31991,23385500.0,1064
-,Ahmed Nagar,64,46000.0,3
-,Ahmedabad,294,181000.0,1
-,Ajmer,1,1000.0,1
-,Alipurduar,21,17000.0,2
-,Allahabad,22,20000.0,1
-,Ambedkar Nagar,21,13500.0,4
-,Amreli,64,44700.0,2
-,Anand,113,80600.0,3
-,Araria,40,31000.0,1
-,Arwal,1,1000.0,1
-,Aurangabad,95,66000.0,2
-,Aurangabad(BH),70,50000.0,1
-,Azamgarh,51,53500.0,1
-,Bagalkot,54,38000.0,1
-,Bageshwar,74,51000.0,2
-,Bahraich,10,10500.0,1
-,Bankura,87,60000.0,3
-,Barabanki,26,20500.0,1
-,Basti,37,30000.0,1
-,Beed,17,10000.0,1
-,Belagavi,46,30000.0,1
-,Bhagalpur,20,10000.0,1
-,Bharatpur,27,20000.0,1
-,Bharuch,61,40000.0,2
-,Bhavnagar,10,10000.0,1
-,Bhojpur,1,1000.0,1
-,Bilaspur(CGH),52,30000.0,1
-,Birbhum,36,40500.0,3
-,Bishnupur,31,15000.0,1
-,Budaun,11,10000.0,1
-,Buldhana,14,11000.0,2
-,Buxar,10,11500.0,2
-,Chamrajnagar,40,31000.0,2
-,Chhindwara,80,50000.0,1
-,Chittoor,43,30000.0,1
-,Chittorgarh,46,33000.0,1
-,Churu,66,50000.0,1
-,Cooch Behar,35,32000.0,2
-,Cuddalore,1,1000.0,1
-,Darbhanga,18,15000.0,1
-,Davangere,43,33000.0,1
-,Dhanbad,276,184000.0,2
-,Dhule,9,10000.0,1
-,Dungarpur,86,38000.0,1
-,Durg,30,30500.0,1
-,East Godavari,24,18000.0,1
-,East Midnapore,110,80000.0,4
-,East Singhbhum,42,30000.0,1
-,Firozabad,37,30000.0,1
-,Ghaziabad,448,291000.0,1
-,Ghazipur,18,10000.0,1
-,Gonda,39,30000.0,1
-,Gurgaon,77,45000.0,1
-,Hassan,10,10000.0,1
-,Hathras,45,30000.0,1
-,Jaipur,68,45000.0,1
-,Jalna,18,20000.0,1
-,Jamnagar,52,31000.0,2
-,Jamui,1,1000.0,1
-,Jaunpur,41,30000.0,1
-,Jehanabad,153,84000.0,1
-,Junagadh,8,5000.0,1
-,Kalaburagi,214,143000.0,3
-,Kanchipuram,30,23500.0,2
-,Karim Nagar,45,30000.0,1
-,Kheda,26,21000.0,1
-,Kohima,48,29000.0,1
-,Kurnool,51,30000.0,1
-,Latehar,1,0.0,1
-,Madhepura,68,51000.0,1
-,Madhubani,10,10000.0,1
-,Mahabub Nagar,52,30000.0,1
-,Mahesana,63,38000.0,1
-,Malda,47,31000.0,1
-,Mathura,17,13500.0,1
-,Mau,20,10000.0,1
-,Medak,1,1000.0,1
-,Mirzapur,11,8500.0,1
-,Murshidabad,49,33000.0,1
-,Mysuru,54,40000.0,2
-,Nadia,119,99000.0,3
-,Nalbari,1,1000.0,1
-,Nalgonda,66,50000.0,1
-,Nandurbar,40,30000.0,1
-,Nashik,5,5000.0,1
-,Navsari,28,20000.0,1
-,Nizamabad,68,38000.0,1
