Clinic_Loc,Month,qty,revenue,transactions
AB Rd,2025-05,37,31000.0,10
AB Rd,2025-06,1546,1021000.0,421
AB Rd,2025-07,1825,1219000.0,526
AB Rd,2025-08,3973,2844000.0,975
AB Rd,2025-09,4257,3317000.0,988
AB Rd,2025-10,3943,2777200.0,795
AB Rd,2025-11,5610,4359000.0,1054
AB Rd,2025-12,5305,3974000.0,1050
AB Rd,2026-01,5334,4151318.6,1075
ABCPoint,2025-03,381,341600.0,118
ABCPoint,2025-04,1399,1079500.0,452
ABCPoint,2025-05,1606,1304000.0,724
ABCPoint,2025-06,2139,1684000.0,923
ABCPoint,2025-07,3584,2487250.0,1135
ABCPoint,2025-08,4600,2987500.0,1277
ABCPoint,2025-09,3685,2534000.0,1118
ABCPoint,2025-10,4576,2789000.0,1020
ABCPoint,2025-11,4310,2925000.0,943
ABCPoint,2025-12,4673,2995000.0,941
ABCPoint,2026-01,5018,3241000.0,944
Adajan,2025-10,456,226000.0,85
Adajan,2025-11,2057,1228000.0,406
Adajan,2025-12,2803,1609000.0,568
Adajan,2026-01,2589,1619000.0,510
Alambagh,2025-11,96,105000.0,48
Alambagh,2025-12,1076,1257000.0,474
Alambagh,2026-01,949,1246000.0,442
Alkapuri,2025-02,1016,754700.0,348
Alkapuri,2025-03,1413,1190700.0,584
Alkapuri,2025-04,1517,1329780.0,685
Alkapuri,2025-05,2339,1719720.0,844
Alkapuri,2025-06,3176,2194500.0,1002
Alkapuri,2025-07,4389,3003500.0,1179
Alkapuri,2025-08,3437,2294000.0,816
Alkapuri,2025-09,4370,3169492.0,1061
Alkapuri,2025-10,3735,2459106.0,844
Alkapuri,2025-11,3393,2345000.0,773
Alkapuri,2025-12,4935,3239700.0,1068
Alkapuri,2026-01,3021,1927000.0,532
Anna Ng,2025-03,42,33000.0,12
Anna Ng,2025-04,743,591550.0,269
Anna Ng,2025-05,1025,914500.0,491
Anna Ng,2025-06,1756,1464000.0,768
Anna Ng,2025-07,1978,1715700.0,969
Anna Ng,2025-08,2229,2239700.0,1116
Anna Ng,2025-09,1989,2110500.0,1027
Anna Ng,2025-10,2205,2287500.0,920
Anna Ng,2025-11,2902,3278500.0,1081
Anna Ng,2025-12,2090,2313000.0,721
Anna Ng,2026-01,2222,2386000.0,789
Arera Cly,2025-06,554,368000.0,144
Arera Cly,2025-07,1701,1132000.0,433
Arera Cly,2025-08,3032,2335500.0,848
Arera Cly,2025-09,4001,3159000.0,1152
Arera Cly,2025-10,2114,1657000.0,581
Arera Cly,2025-11,2150,2461000.0,599
Arera Cly,2025-12,2273,3174000.0,702
Arera Cly,2026-01,1629,2356000.0,536
Badakdev,2025-01,751,552900.0,347
Badakdev,2025-02,1499,1117500.0,928
Badakdev,2025-03,2536,1964903.0,1234
Badakdev,2025-04,3235,2435500.0,1468
Badakdev,2025-05,3835,2737500.0,1708
Badakdev,2025-06,5073,3581000.0,2151
Badakdev,2025-07,6650,4312000.0,1782
Badakdev,2025-08,9245,5703000.0,1937
Badakdev,2025-09,8795,5173000.0,1597
Badakdev,2025-10,4636,2872000.0,1096
Badakdev,2025-11,6835,4232000.0,1542
Badakdev,2025-12,6201,3214000.0,1233
Badakdev,2026-01,5500,3397096.0,1058
Ballupur Rd,2025-06,202,164501.0,69
Ballupur Rd,2025-07,1252,855460.0,376
Ballupur Rd,2025-08,2473,1559200.0,699
Ballupur Rd,2025-09,1814,1152000.0,576
Ballupur Rd,2025-10,1458,863000.0,402
Ballupur Rd,2025-11,1464,869000.0,311
Ballupur Rd,2025-12,2216,1323000.0,366
Ballupur Rd,2026-01,1399,966000.0,268
Ballygunge,2025-03,1518,1159890.0,667
Ballygunge,2025-04,1982,1641099.0,974
Ballygunge,2025-05,4380,3296700.0,1886
Ballygunge,2025-06,8086,6076500.0,3507
Ballygunge,2025-07,9462,7240450.0,3597
Ballygunge,2025-08,8992,6930700.0,3131
Ballygunge,2025-09,5808,4548350.0,2155
Ballygunge,2025-10,4562,3301090.4,1305
Ballygunge,2025-11,5039,3702500.0,1243
Ballygunge,2025-12,3766,2812000.0,877
Ballygunge,2026-01,4279,3005760.0,847
Basaveshwar,2025-08,101,70000.0,29
Basaveshwar,2025-09,433,332000.0,140
Basaveshwar,2025-10,1714,1217700.0,421
Basaveshwar,2025-11,2229,1709500.0,567
Basaveshwar,2025-12,3428,2305000.0,633
Basaveshwar,2026-01,2025,1612500.0,447
Begambagh,2025-07,372,263000.0,123
Begambagh,2025-08,1071,804000.0,416
Begambagh,2025-09,1260,780500.0,352
Begambagh,2025-10,1011,655000.0,246
Begambagh,2025-11,1450,867000.0,315
Begambagh,2025-12,1147,750000.0,262
Begambagh,2026-01,826,604000.0,186
Canada,2025-05,312,195900.0,89
Canada,2025-06,917,680000.0,395
Canada,2025-07,1218,897500.0,539
Canada,2025-08,1707,1213450.0,647
Canada,2025-09,1661,1132000.0,558
Canada,2025-10,1445,1085000.0,465
Canada,2025-11,1300,1363000.0,531
Canada,2025-12,1643,1789000.0,606
Canada,2026-01,1130,1375000.0,396
Civil Lines,2024-11,273,145150.0,75
Civil Lines,2024-12,762,475300.0,319
Civil Lines,2025-01,1597,1127900.0,527
Civil Lines,2025-02,1173,882300.0,430
Civil Lines,2025-03,1303,1026900.0,504
Civil Lines,2025-04,1351,1132000.0,565
Civil Lines,2025-05,2131,1819000.0,797
Civil Lines,2025-06,2021,1721500.0,804
Civil Lines,2025-07,2782,2227000.0,1063
Civil Lines,2025-08,3337,2169000.0,959
Civil Lines,2025-09,2944,1912000.0,724
Civil Lines,2025-10,2257,1396000.0,517
Civil Lines,2025-11,2593,1660000.0,618
Civil Lines,2025-12,2708,1686000.0,543
Civil Lines,2026-01,2615,1780000.0,571
Dadar,2024-08,106,94758.1,35
Dadar,2024-09,1955,1760980.0,738
Dadar,2024-10,1921,1715480.0,832
Dadar,2024-11,2347,2114108.0,1130
Dadar,2024-12,2021,1816601.0,1005
Dadar,2025-01,2311,2254697.0,1040
Dadar,2025-02,4177,2991050.0,1562
Dadar,2025-03,4172,3024121.0,1501
Dadar,2025-04,4028,3207501.0,1428
Dadar,2025-05,4434,3372000.0,1611
Dadar,2025-06,5015,3738500.0,1800
