clinic_name,city_code,clinic_code,launch_date,cabins,region,total_appts,total_show_rate,appt_2025-01,show_2025-01,appt_2025-02,show_2025-02,appt_2025-03,show_2025-03,appt_2025-04,show_2025-04,appt_2025-05,show_2025-05,appt_2025-06,show_2025-06,appt_2025-07,show_2025-07,appt_2025-08,show_2025-08,appt_2025-09,show_2025-09,appt_2025-10,show_2025-10,appt_2025-11,show_2025-11,appt_2025-12,show_2025-12,appt_2026-01,show_2026-01
Malad,MUM,1001,2023-10-23,3,West 1,7082,0.3045749788195425,541,0.3807763401109057,621,0.1819645732689211,476,0.25840336134453784,572,0.2972027972027972,567,0.31040564373897706,654,0.3516819571865443,693,0.329004329004329,615,0.2926829268292683,542,0.29,493,0.32,485,0.3,442,0.33,381,0.34
Dadar,MUM,1007,2024-08-31,2,West 1,8298,0.232706676307544,430,0.16511627906976745,829,0.14475271411338964,485,0.15257731958762888,604,0.17880794701986755,630,0.26666666666666666,605,0.31239669421487604,855,0.2654970760233918,732,0.23497267759562843,696,0.23,672,0.26,692,0.26,556,0.25,512,0.28
Thane,THN,1004,2024-07-06,2,West 1,7207,0.2530872762591925,498,0.1646586345381526,522,0.15517241379310345,585,0.20683760683760682,697,0.24533715925394547,649,0.3405238828967643,757,0.31836195508586523,782,0.28388746803069054,545,0.28990825688073396,486,0.27,427,0.25,498,0.23,389,0.22,372,0.24
Virar,MUM,1011,2024-10-29,2,West 1,4638,0.2805088400172488,298,0.26174496644295303,381,0.15223097112860892,294,0.21768707482993196,375,0.22133333333333333,358,0.22905027932960895,342,0.31871345029239767,452,0.3252212389380531,416,0.34375,353,0.37,364,0.29,396,0.29,299,0.3,310,0.32
Kharghar,NVM,1017,2024-12-18,2,West 1,4453,0.2858746912194027,265,0.2339622641509434,349,0.18911174785100288,278,0.1618705035971223,337,0.2551928783382789,341,0.35777126099706746,336,0.3898809523809524,433,0.3648960739030023,357,0.31092436974789917,390,0.33,334,0.28,419,0.27,326,0.26,288,0.25
Khadakpada,KLN,1047,2025-07-23,2,West 1,2632,0.2796352583586626,-,-,-,-,-,-,-,-,-,-,-,-,104,0.3076923076923077,437,0.32265446224256294,417,0.33,427,0.27,479,0.25,407,0.27,361,0.22
Mira Rd,THN,1051,2025-08-16,2,West 1,711,0.360056258790436,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,0.5217391304347826,132,0.38,128,0.31,136,0.34,153,0.35,116,0.36
Viman,PUN,1002,2024-04-01,2,West 1,7108,0.2180641530669668,718,0.18384401114206128,729,0.18244170096021947,639,0.18622848200312989,413,0.26150121065375304,466,0.26180257510729615,548,0.2572992700729927,583,0.2624356775300172,589,0.28862478777589134,539,0.25,576,0.22,584,0.17,416,0.15,308,0.15
PCMC,PUN,1029,2025-03-26,2,West 1,4753,0.28802861350725856,-,-,-,-,43,0.23255813953488372,307,0.20846905537459284,371,0.3261455525606469,483,0.3002070393374741,570,0.3526315789473684,588,0.27040816326530615,496,0.31,492,0.27,577,0.26,430,0.27,396,0.3
Kondhwa,PUN,1059,2025-12-13,2,West 1,358,0.21787709497206703,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,122,0.37,236,0.14
Dharam,NAG,1008,2024-09-14,2,West 1,9403,0.15633308518557906,394,0.20050761421319796,709,0.17912552891396333,401,0.13466334164588528,422,0.16113744075829384,449,0.15812917594654788,581,0.1566265060240964,934,0.1873661670235546,1058,0.16918714555765596,972,0.16,917,0.14,961,0.14,868,0.14,737,0.13
Canada,NSK,1039,2025-05-24,2,West 1,2372,0.19350758853288363,-,-,-,-,-,-,-,-,26,0.19230769230769232,233,0.1459227467811159,263,0.18631178707224336,282,0.2907801418439716,250,0.23,352,0.17,417,0.14,295,0.22,254,0.19
Kailash Ng,AUR,1046,2025-07-19,2,West 1,2840,0.13943661971830987,-,-,-,-,-,-,-,-,-,-,1,-,148,0.1891891891891892,456,0.14692982456140352,413,0.22,453,0.15,535,0.09,405,0.1,429,0.12
Margao,MAR,1036,2025-05-03,2,West 1,2196,0.30009107468123863,-,-,-,-,-,-,-,-,113,0.40707964601769914,195,0.3641025641025641,328,0.3567073170731707,281,0.2846975088967972,280,0.24,281,0.32,302,0.31,225,0.24,191,0.21
Badakdev,AHM,1021,2025-01-18,2,West 2,8956,0.20913354175971416,191,0.18848167539267016,552,0.1793478260869565,630,0.12380952380952381,753,0.17264276228419656,741,0.1862348178137652,823,0.24179829890643986,967,0.23474663908996898,1117,0.21933751119068934,841,0.22,667,0.18,753,0.22,466,0.29,455,0.25
