Clinic_Loc,Region,Zone,City,State,total_qty,total_revenue,unique_pincodes,firsttime_qty,total_transactions
AB Rd,Central,West 2,-,-,1032,722999.6,16,1032,189
AB Rd,Central,West 2,Balaghat,Madhya Pradesh,51,35000.0,1,51,10
AB Rd,Central,West 2,Barwani,Madhya Pradesh,46,32000.0,1,46,10
AB Rd,Central,West 2,Betul,Madhya Pradesh,26,20000.0,1,26,10
AB Rd,Central,West 2,Bhandara,Maharashtra,1,1000.0,1,1,1
AB Rd,Central,West 2,Bhind,Madhya Pradesh,58,58000.0,1,58,10
AB Rd,Central,West 2,Bhopal,Madhya Pradesh,64,50000.0,2,64,19
AB Rd,Central,West 2,Burhanpur,Madhya Pradesh,167,122000.0,1,128,45
AB Rd,Central,West 2,Chhindwara,Madhya Pradesh,122,109000.0,2,122,19
AB Rd,Central,West 2,Chittorgarh,Rajasthan,46,30000.0,1,46,8
AB Rd,Central,West 2,Dewas,Madhya Pradesh,1012,745000.0,2,958,210
AB Rd,Central,West 2,Dhar,Madhya Pradesh,1073,854331.0,7,1063,276
AB Rd,Central,West 2,Dhule,Maharashtra,69,38000.0,1,69,10
AB Rd,Central,West 2,East Nimar,Madhya Pradesh,147,126000.0,2,147,38
AB Rd,Central,West 2,Guna,Madhya Pradesh,1,1000.0,1,1,1
AB Rd,Central,West 2,Gwalior,Madhya Pradesh,67,53000.0,2,67,17
AB Rd,Central,West 2,Harda,Madhya Pradesh,125,79999.0,2,125,24
AB Rd,Central,West 2,Hathras,Uttar Pradesh,63,38000.0,1,63,9
AB Rd,Central,West 2,Indore,Madhya Pradesh,22219,16522857.0,21,21611,4738
AB Rd,Central,West 2,Jabalpur,Madhya Pradesh,178,140000.0,2,178,35
AB Rd,Central,West 2,Jaipur,Rajasthan,125,116000.0,2,125,20
AB Rd,Central,West 2,Jhabua,Madhya Pradesh,275,231000.0,5,275,62
AB Rd,Central,West 2,Jhalawar,Rajasthan,48,30000.0,1,48,11
AB Rd,Central,West 2,Katni,Madhya Pradesh,112,78000.0,1,112,28
