S.No,Clinic Name,City,City Code,Clinic Code,Region,Launch Date,Cabins,Total Appts,Avg NTB (L12M),Active Months,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Qualifies (≥150)
1,KankarBagh,Patna,PAT,1037,North 2,2025-05-10,2,10129,1125.4,9,0,0,0,0,381,602,914,1456,1369,1375,1453,1255,1324,Yes
2,Ballygunge,Kolkata,KOL,1027,East,2025-03-08,2,9706,882.4,11,0,0,268,368,581,1194,1557,1821,1094,772,806,663,582,Yes
3,Gomati,Lucknow,LKO,1018,North 2,2024-12-21,2,10131,808.3,12,431,657,532,673,733,801,1009,1258,1065,949,899,567,557,Yes
4,Dharam,Nagpur,NAG,1008,West 1,2024-09-14,2,9403,750.8,12,394,709,401,422,449,581,934,1058,972,917,961,868,737,Yes
5,Badakdev,Ahmedabad,AHM,1021,West 2,2025-01-18,2,8956,730.4,12,191,552,630,753,741,823,967,1117,841,667,753,466,455,Yes
6,Rajouri,Delhi,NDL,1006,North 1,2024-08-31,3,8744,691.4,12,447,631,578,588,646,659,859,927,730,623,726,639,691,Yes
7,Dadar,Mumbai,MUM,1007,West 1,2024-08-31,2,8298,655.7,12,430,829,485,604,630,605,855,732,696,672,692,556,512,Yes
8,Civil Lines,Agra,AGR,1013,North 2,2024-11-26,2,7702,616.5,12,304,392,403,439,515,571,709,858,790,685,767,594,675,Yes
9,Madhapur,Hyderabad,HYD,1010,South,2024-10-12,3,7779,612.9,12,424,793,609,734,675,734,707,688,538,575,517,369,416,Yes
10,Vesu,Surat,SUR,1025,West 2,2025-02-15,2,7088,590.7,12,0,280,372,517,576,715,811,857,786,681,612,471,410,Yes
11,Lajpat,Delhi,NDL,1003,North 1,2024-06-01,3,7547,583.8,12,542,669,566,603,687,630,789,757,570,433,470,385,446,Yes
12,Thane,Thane,THN,1004,West 1,2024-07-06,2,7207,559.1,12,498,522,585,697,649,757,782,545,486,427,498,389,372,Yes
13,Howrah,Kolkata,KOL,1053,East,2025-09-20,2,2741,548.2,5,0,0,0,0,0,0,0,0,162,676,721,615,567,Yes
14,Mahmoorganj,Varanasi,VAR,1026,North 2,2025-02-26,2,6554,546.2,12,0,40,329,380,450,537,852,946,801,641,637,496,445,Yes
15,Malad,Mumbai,MUM,1001,West 1,2023-10-23,3,7082,545.1,12,541,621,476,572,567,654,693,615,542,493,485,442,381,Yes
16,JP Ng,Bengaluru,BLR,1005,South,2024-07-27,3,6862,537.0,12,418,356,301,374,565,689,791,887,613,550,526,428,364,Yes
17,Viman,Pune,PUN,1002,West 1,2024-04-01,2,7108,532.5,12,718,729,639,413,466,548,583,589,539,576,584,416,308,Yes
18,LalKothi,Jaipur,JAI,1024,West 2,2025-02-08,2,6278,523.2,12,0,168,182,296,493,553,635,688,655,620,648,658,682,Yes
19,Alkapuri,Vadodara,VAD,1023,West 2,2025-02-01,2,6159,513.2,12,0,235,236,314,336,388,656,738,675,639,733,638,571,Yes
20,Raj Ng,Ghaziabad,GHZ,1015,North 1,2024-12-03,2,6326,503.6,12,283,489,419,517,609,543,704,664,477,438,442,364,377,Yes
21,Model Town,Kanpur,KNP,1012,North 2,2024-11-23,2,6314,499.0,12,326,448,339,404,473,510,672,702,601,495,494,426,424,Yes
22,Arera Cly,Bhopal,BPL,1041,West 2,2025-06-14,2,3965,495.6,8,0,0,0,0,0,115,302,637,682,579,598,544,508,Yes
23,AB Rd,Indore,IND,1040,West 2,2025-05-31,2,4459,495.4,9,0,0,0,0,15,248,365,565,696,611,690,637,632,Yes
24,Sec-51,Noida,NOI,1009,North 1,2024-10-05,2,5971,470.4,12,326,472,362,366,418,449,646,661,564,387,451,392,477,Yes
25,Anna Ng,Chennai,CHE,1031,South,2025-03-29,2,5095,463.2,11,0,0,3,104,167,288,479,615,661,783,820,623,552,Yes
