S.No,City,State,Tier,Web Order Qty,Est. Population,Projected Monthly NTB,Pincode,Area Name,Location Rationale,National IVFs,Regional IVFs
1,Coimbatore,Tamil Nadu,Tier-2,1284,21 lakh (metro),630,641018,RS Puram,"Premium residential, city center","Indira IVF, Nova IVF, Cloudnine","CIMAR, GG Hospital IVF"
2,Coimbatore,Tamil Nadu,Tier-2,1284,21 lakh (metro),630,641037,Gandhipuram,"Commercial CBD, high footfall","Indira IVF, Nova IVF, Cloudnine","CIMAR, GG Hospital IVF"
3,Coimbatore,Tamil Nadu,Tier-2,1284,21 lakh (metro),630,641004,Peelamedu,"IT corridor, Tidel Park","Indira IVF, Nova IVF, Cloudnine","CIMAR, GG Hospital IVF"
4,Coimbatore,Tamil Nadu,Tier-2,1284,21 lakh (metro),630,641035,Saravanampatti,"IT hub, young professionals","Indira IVF, Nova IVF, Cloudnine","CIMAR, GG Hospital IVF"
5,Coimbatore,Tamil Nadu,Tier-2,1284,21 lakh (metro),630,641011,Singanallur,"Residential hub, growing area","Indira IVF, Nova IVF, Cloudnine","CIMAR, GG Hospital IVF"
6,Jamshedpur,Jharkhand,Tier-2,1161,15 lakh (metro),450,831001,Bistupur,"City center, TATA Steel headquarters",Indira IVF,"Tata Main Hospital, Mercy Hospital IVF"
7,Jamshedpur,Jharkhand,Tier-2,1161,15 lakh (metro),450,831004,Sakchi,"Commercial hub, high footfall",Indira IVF,"Tata Main Hospital, Mercy Hospital IVF"
8,Jamshedpur,Jharkhand,Tier-2,1161,15 lakh (metro),450,831005,Kadma,"Residential area, TATA township",Indira IVF,"Tata Main Hospital, Mercy Hospital IVF"
9,Jamshedpur,Jharkhand,Tier-2,1161,15 lakh (metro),450,831011,Telco/Tatanagar,"Industrial area, large population",Indira IVF,"Tata Main Hospital, Mercy Hospital IVF"
10,Jamshedpur,Jharkhand,Tier-2,1161,15 lakh (metro),450,831009,Sonari,"Premium residential, Officer colony",Indira IVF,"Tata Main Hospital, Mercy Hospital IVF"
11,Jabalpur,Madhya Pradesh,Tier-2,1114,13 lakh,390,482002,Wright Town,"City center, commercial hub",Indira IVF,"Narmada IVF, Life Spring IVF"
12,Jabalpur,Madhya Pradesh,Tier-2,1114,13 lakh,390,482001,Sadar Bazaar,"Traditional market, high footfall",Indira IVF,"Narmada IVF, Life Spring IVF"
13,Jabalpur,Madhya Pradesh,Tier-2,1114,13 lakh,390,482003,Napier Town,Premium residential,Indira IVF,"Narmada IVF, Life Spring IVF"
