S.No,City,Existing Clinics,Highest Avg NTB,Micro-Market Pincode,Micro-Market Area,Expansion Rationale,National IVFs Present,Regional IVFs Present
1,Mumbai,"Malad, Dadar, Virar, Kharghar, Khadakpada, Mira Rd, Thane",655.7,400058,Andheri West,"High web order density, commercial hub","Indira IVF (Borivali, Dadar, Andheri, Vashi), Nova IVF (Andheri, Chembur, Vashi), Apollo Fertility, Cloudnine (Malad, Vashi)","Bloom IVF (Bandra, Lilavati), Morpheus IVF, Jaslok Hospital IVF"
2,Mumbai,"Malad, Dadar, Virar, Kharghar, Khadakpada, Mira Rd, Thane",655.7,400069,Andheri East,"IT corridor, young professional population","Indira IVF (Borivali, Dadar, Andheri, Vashi), Nova IVF (Andheri, Chembur, Vashi), Apollo Fertility, Cloudnine (Malad, Vashi)","Bloom IVF (Bandra, Lilavati), Morpheus IVF, Jaslok Hospital IVF"
3,Mumbai,"Malad, Dadar, Virar, Kharghar, Khadakpada, Mira Rd, Thane",655.7,400076,Powai,"Hiranandani Gardens, affluent residential","Indira IVF (Borivali, Dadar, Andheri, Vashi), Nova IVF (Andheri, Chembur, Vashi), Apollo Fertility, Cloudnine (Malad, Vashi)","Bloom IVF (Bandra, Lilavati), Morpheus IVF, Jaslok Hospital IVF"
4,Mumbai,"Malad, Dadar, Virar, Kharghar, Khadakpada, Mira Rd, Thane",655.7,400053,Bandra East,"BKC proximity, high-income catchment","Indira IVF (Borivali, Dadar, Andheri, Vashi), Nova IVF (Andheri, Chembur, Vashi), Apollo Fertility, Cloudnine (Malad, Vashi)","Bloom IVF (Bandra, Lilavati), Morpheus IVF, Jaslok Hospital IVF"
5,Mumbai,"Malad, Dadar, Virar, Kharghar, Khadakpada, Mira Rd, Thane",655.7,400080,Ghatkopar,"Metro connectivity, dense residential","Indira IVF (Borivali, Dadar, Andheri, Vashi), Nova IVF (Andheri, Chembur, Vashi), Apollo Fertility, Cloudnine (Malad, Vashi)","Bloom IVF (Bandra, Lilavati), Morpheus IVF, Jaslok Hospital IVF"
6,Mumbai,"Malad, Dadar, Virar, Kharghar, Khadakpada, Mira Rd, Thane",655.7,400072,Vikhroli,"Godrej township area, growing catchment","Indira IVF (Borivali, Dadar, Andheri, Vashi), Nova IVF (Andheri, Chembur, Vashi), Apollo Fertility, Cloudnine (Malad, Vashi)","Bloom IVF (Bandra, Lilavati), Morpheus IVF, Jaslok Hospital IVF"
7,Mumbai,"Malad, Dadar, Virar, Kharghar, Khadakpada, Mira Rd, Thane",655.7,400016,Parel/Lower Parel,"Mill district, premium real estate","Indira IVF (Borivali, Dadar, Andheri, Vashi), Nova IVF (Andheri, Chembur, Vashi), Apollo Fertility, Cloudnine (Malad, Vashi)","Bloom IVF (Bandra, Lilavati), Morpheus IVF, Jaslok Hospital IVF"
8,Mumbai,"Malad, Dadar, Virar, Kharghar, Khadakpada, Mira Rd, Thane",655.7,400104,Kandivali East,"High population density, affordable residential","Indira IVF (Borivali, Dadar, Andheri, Vashi), Nova IVF (Andheri, Chembur, Vashi), Apollo Fertility, Cloudnine (Malad, Vashi)","Bloom IVF (Bandra, Lilavati), Morpheus IVF, Jaslok Hospital IVF"
9,Mumbai,"Malad, Dadar, Virar, Kharghar, Khadakpada, Mira Rd, Thane",655.7,421301,Dombivli,"Major dormitory town, high commuter population","Indira IVF (Borivali, Dadar, Andheri, Vashi), Nova IVF (Andheri, Chembur, Vashi), Apollo Fertility, Cloudnine (Malad, Vashi)","Bloom IVF (Bandra, Lilavati), Morpheus IVF, Jaslok Hospital IVF"
10,Mumbai,"Malad, Dadar, Virar, Kharghar, Khadakpada, Mira Rd, Thane",655.7,400705,Airoli/Ghansoli,"IT parks, young working couples","Indira IVF (Borivali, Dadar, Andheri, Vashi), Nova IVF (Andheri, Chembur, Vashi), Apollo Fertility, Cloudnine (Malad, Vashi)","Bloom IVF (Bandra, Lilavati), Morpheus IVF, Jaslok Hospital IVF"
11,Delhi,"Lajpat, Rajouri",691.4,110034,Pitampura,North Delhi residential hub,"Indira IVF (Daryaganj, Pitampura, Lajpat Nagar), Nova IVF (Rajouri, Noida), Apollo Fertility, Gaudium IVF (Kailash Colony, Janakpuri), Max Fertility","God's Grace IVF, International Fertility Centre, Crysta IVF, Janini IVF"
12,Delhi,"Lajpat, Rajouri",691.4,110052,Rohini,"Dense residential, metro connected","Indira IVF (Daryaganj, Pitampura, Lajpat Nagar), Nova IVF (Rajouri, Noida), Apollo Fertility, Gaudium IVF (Kailash Colony, Janakpuri), Max Fertility","God's Grace IVF, International Fertility Centre, Crysta IVF, Janini IVF"
13,Delhi,"Lajpat, Rajouri",691.4,110092,Shahdara,"East Delhi, high population density","Indira IVF (Daryaganj, Pitampura, Lajpat Nagar), Nova IVF (Rajouri, Noida), Apollo Fertility, Gaudium IVF (Kailash Colony, Janakpuri), Max Fertility","God's Grace IVF, International Fertility Centre, Crysta IVF, Janini IVF"
14,Delhi,"Lajpat, Rajouri",691.4,110019,Nehru Place/Kalkaji,South Delhi commercial-residential,"Indira IVF (Daryaganj, Pitampura, Lajpat Nagar), Nova IVF (Rajouri, Noida), Apollo Fertility, Gaudium IVF (Kailash Colony, Janakpuri), Max Fertility","God's Grace IVF, International Fertility Centre, Crysta IVF, Janini IVF"
15,Delhi,"Lajpat, Rajouri",691.4,110044,Dwarka,"Sub-city, young families","Indira IVF (Daryaganj, Pitampura, Lajpat Nagar), Nova IVF (Rajouri, Noida), Apollo Fertility, Gaudium IVF (Kailash Colony, Janakpuri), Max Fertility","God's Grace IVF, International Fertility Centre, Crysta IVF, Janini IVF"
16,Delhi,"Lajpat, Rajouri",691.4,110088,Preet Vihar,East Delhi residential hub,"Indira IVF (Daryaganj, Pitampura, Lajpat Nagar), Nova IVF (Rajouri, Noida), Apollo Fertility, Gaudium IVF (Kailash Colony, Janakpuri), Max Fertility","God's Grace IVF, International Fertility Centre, Crysta IVF, Janini IVF"
17,Delhi,"Lajpat, Rajouri",691.4,110085,Shahdara (NE Delhi),"Dense population, underserved","Indira IVF (Daryaganj, Pitampura, Lajpat Nagar), Nova IVF (Rajouri, Noida), Apollo Fertility, Gaudium IVF (Kailash Colony, Janakpuri), Max Fertility","God's Grace IVF, International Fertility Centre, Crysta IVF, Janini IVF"
18,Delhi,"Lajpat, Rajouri",691.4,110015,Saket,South Delhi affluent area,"Indira IVF (Daryaganj, Pitampura, Lajpat Nagar), Nova IVF (Rajouri, Noida), Apollo Fertility, Gaudium IVF (Kailash Colony, Janakpuri), Max Fertility","God's Grace IVF, International Fertility Centre, Crysta IVF, Janini IVF"
19,Delhi,"Lajpat, Rajouri",691.4,110058,Janakpuri,West Delhi residential hub,"Indira IVF (Daryaganj, Pitampura, Lajpat Nagar), Nova IVF (Rajouri, Noida), Apollo Fertility, Gaudium IVF (Kailash Colony, Janakpuri), Max Fertility","God's Grace IVF, International Fertility Centre, Crysta IVF, Janini IVF"
20,Delhi,"Lajpat, Rajouri",691.4,110091,Mayur Vihar,"East Delhi, metro connected","Indira IVF (Daryaganj, Pitampura, Lajpat Nagar), Nova IVF (Rajouri, Noida), Apollo Fertility, Gaudium IVF (Kailash Colony, Janakpuri), Max Fertility","God's Grace IVF, International Fertility Centre, Crysta IVF, Janini IVF"
21,Bengaluru,"JP Ng, Whitefield, Kalyan Ng, Basaveshwar",537.0,560001,MG Road/Central Bangalore,"CBD, high footfall","Indira IVF (Indira Nagar, Jayanagar, Whitefield), Nova IVF (Koramangala, Jayanagar), Apollo Fertility, Cloudnine, Gaudium IVF","Milann Fertility (3 locations), Oasis Fertility, Manipal Fertility"
22,Bengaluru,"JP Ng, Whitefield, Kalyan Ng, Basaveshwar",537.0,560011,Malleshwaram,"Traditional residential, high income","Indira IVF (Indira Nagar, Jayanagar, Whitefield), Nova IVF (Koramangala, Jayanagar), Apollo Fertility, Cloudnine, Gaudium IVF","Milann Fertility (3 locations), Oasis Fertility, Manipal Fertility"
23,Bengaluru,"JP Ng, Whitefield, Kalyan Ng, Basaveshwar",537.0,560034,Koramangala,"Startup hub, young professionals","Indira IVF (Indira Nagar, Jayanagar, Whitefield), Nova IVF (Koramangala, Jayanagar), Apollo Fertility, Cloudnine, Gaudium IVF","Milann Fertility (3 locations), Oasis Fertility, Manipal Fertility"
24,Bengaluru,"JP Ng, Whitefield, Kalyan Ng, Basaveshwar",537.0,560085,Marathahalli,"IT corridor, high demand from web orders","Indira IVF (Indira Nagar, Jayanagar, Whitefield), Nova IVF (Koramangala, Jayanagar), Apollo Fertility, Cloudnine, Gaudium IVF","Milann Fertility (3 locations), Oasis Fertility, Manipal Fertility"
25,Bengaluru,"JP Ng, Whitefield, Kalyan Ng, Basaveshwar",537.0,560102,Electronic City,"Major IT hub, young couples","Indira IVF (Indira Nagar, Jayanagar, Whitefield), Nova IVF (Koramangala, Jayanagar), Apollo Fertility, Cloudnine, Gaudium IVF","Milann Fertility (3 locations), Oasis Fertility, Manipal Fertility"
26,Bengaluru,"JP Ng, Whitefield, Kalyan Ng, Basaveshwar",537.0,560103,Sarjapur Road,Fastest growing corridor,"Indira IVF (Indira Nagar, Jayanagar, Whitefield), Nova IVF (Koramangala, Jayanagar), Apollo Fertility, Cloudnine, Gaudium IVF","Milann Fertility (3 locations), Oasis Fertility, Manipal Fertility"
27,Bengaluru,"JP Ng, Whitefield, Kalyan Ng, Basaveshwar",537.0,560048,BTM Layout,"Dense residential, tech workers","Indira IVF (Indira Nagar, Jayanagar, Whitefield), Nova IVF (Koramangala, Jayanagar), Apollo Fertility, Cloudnine, Gaudium IVF","Milann Fertility (3 locations), Oasis Fertility, Manipal Fertility"
