S.No,Chain Name,Type,No. of Centers,Cities Present,Specialty/Positioning
1,Indira IVF,National Chains,165+,Pan-India (20+ states),"Largest chain, affordable"
2,Nova IVF Fertility,National Chains,70+,Pan-India (50+ cities),"Premium, international standard"
3,Apollo Fertility,National Chains,17,"Delhi, Chennai, Hyderabad, Bangalore, Mumbai, Kolkata, Amritsar, Guwahati, Varanasi, Solapur, Thane","Hospital-backed, holistic"
4,Cloudnine Fertility,National Chains,30+,"Bangalore, Mumbai, Pune, Delhi, Chennai, Hyderabad, Chandigarh, Gurgaon",Maternity+Fertility combined
5,Max Fertility,National Chains,15+,"Delhi NCR, Punjab, UP",Hospital chain backed
6,Gaudium IVF,National Chains,7,"Delhi, Ludhiana, Srinagar, Patna, Bengaluru, Mumbai",Times Health No.1 rated
7,Birla Fertility,National Chains,30+,Pan-India metro/tier-2,CK Birla group backed
8,Oasis Fertility,Regional Chains,12+,"Hyderabad, Vizag, Vijayawada, Bangalore",South India focused
9,Bloom IVF,Regional Chains,5,"Mumbai, Pune","West India, high success rates"
10,ART Fertility,Regional Chains,18 planned,"Hyderabad, Delhi, Gurugram, Ahmedabad, Mumbai, Bangalore","International chain, premium"
11,Milann Fertility,Regional Chains,8,"Bangalore, Delhi, Chandigarh, Lucknow",South + North India
12,Morpheus IVF,Regional Chains,6,"Pune, Mumbai, Ahmedabad, Hyderabad",West + South India
13,Janini IVF,Regional Chains,5,"Delhi NCR, Lucknow",North India focused
14,Crysta IVF,Regional Chains,10+,"Delhi, Lucknow, Mumbai, Hyderabad, Jaipur",Tier-1 cities
15,Medicover Fertility,Regional Chains,15+,"Delhi, Hyderabad, Bangalore, Pune, Kolkata",European healthcare group
