state,total_orders,total_revenue,unique_customers_pincodes,unique_cities,firsttime_orders,curative_orders,clinic_firsttime_qty,clinic_total_revenue,clinic_pincodes,clinic_cities,state_geo
Maharashtra,67846.0,121790599.51,1516.0,38.0,67846.0,61289.0,404374.0,319397015.22,812.0,40.0,Maharashtra
Uttar Pradesh,38359.0,72101585.61,1528.0,73.0,38359.0,33638.0,164034.0,124068331.03,747.0,87.0,Uttar Pradesh
Karnataka,34780.0,61969936.55,1095.0,35.0,34780.0,31860.0,116248.0,89879331.35,459.0,37.0,Karnataka
Delhi,27479.0,47155994.54,115.0,2.0,27479.0,24746.0,93681.0,68770776.0,100.0,3.0,Delhi
Gujarat,21801.0,41569309.34,933.0,30.0,21801.0,19983.0,128875.0,87354046.0,497.0,32.0,Gujarat
West Bengal,19632.0,36887171.49,1065.0,26.0,19632.0,17868.0,79013.0,58246247.7,785.0,25.0,West Bengal
Telangana,17420.0,31707411.16,451.0,12.0,17420.0,16021.0,52963.0,39292008.73,206.0,14.0,
Haryana,17093.0,30465051.78,374.0,22.0,17093.0,15265.0,35174.0,24979678.0,141.0,21.0,Haryana
Punjab,16301.0,28828335.21,580.0,25.0,16301.0,14737.0,53091.0,37298477.5,265.0,23.0,Punjab
Assam,14007.0,25782085.05,610.0,23.0,14007.0,13114.0,25526.0,17720151.0,266.0,24.0,Assam
Madhya Pradesh,13403.0,26065794.94,722.0,57.0,13403.0,12060.0,40127.0,30652288.0,232.0,51.0,Madhya Pradesh
Rajasthan,11473.0,21428519.67,795.0,35.0,11473.0,10193.0,20514.0,14513867.8,160.0,32.0,Rajasthan
Odisha,10856.0,21165965.72,815.0,31.0,10856.0,9803.0,25392.0,16011910.0,304.0,30.0,Odisha
Tamil Nadu,10640.0,17362327.78,1054.0,34.0,10640.0,9787.0,15913.0,15198530.0,205.0,23.0,Tamil Nadu
Bihar,7929.0,15786092.04,740.0,38.0,7929.0,7212.0,22293.0,16138095.0,268.0,38.0,Bihar
Uttarakhand,6754.0,12714543.3,212.0,13.0,6754.0,6075.0,8859.0,5834609.0,56.0,12.0,Uttarakhand
Chhattisgarh,6526.0,13390808.05,292.0,20.0,6526.0,5898.0,22836.0,15426730.0,129.0,19.0,Chhattisgarh
Jharkhand,6272.0,12537072.22,353.0,27.0,6272.0,5735.0,22528.0,15204466.7,167.0,26.0,Jharkhand
Andhra Pradesh,6015.0,10913263.52,728.0,15.0,6015.0,5493.0,2357.0,1761241.1,62.0,12.0,Andhra Pradesh
Jammu & Kashmir,5658.0,10142933.45,213.0,16.0,5658.0,5138.0,813.0,600000.0,20.0,10.0,Jammu and Kashmir
Himachal Pradesh,4954.0,9183541.92,395.0,12.0,4954.0,4501.0,2614.0,1767800.0,46.0,10.0,Himachal Pradesh
Goa,4551.0,8158632.75,103.0,6.0,4551.0,4169.0,10033.0,8142362.0,66.0,2.0,Goa
Kerala,4306.0,6805730.7,1067.0,14.0,4306.0,3921.0,182.0,141900.0,11.0,7.0,Kerala
Arunachal Pradesh,4037.0,7284228.25,61.0,16.0,4037.0,3859.0,2172.0,1411500.0,18.0,9.0,Arunachal Pradesh
Nagaland,3414.0,6091654.26,50.0,11.0,3414.0,3232.0,7306.0,4957399.0,20.0,10.0,Nagaland
Meghalaya,3271.0,5604356.81,70.0,8.0,3271.0,3039.0,2165.0,1478200.0,30.0,5.0,Meghalaya
Manipur,2790.0,5039293.25,53.0,9.0,2790.0,2579.0,815.0,571900.0,9.0,6.0,Manipur
Chandigarh,2426.0,4246866.89,54.0,1.0,2426.0,2169.0,7222.0,5055275.0,41.0,3.0,Chandigarh
Sikkim,2173.0,3766727.09,28.0,5.0,2173.0,2066.0,1525.0,1051500.0,12.0,4.0,Sikkim
Tripura,1444.0,2759831.64,74.0,4.0,1444.0,1314.0,448.0,298000.0,10.0,4.0,Tripura
Mizoram,755.0,1310042.85,34.0,8.0,755.0,702.0,7.0,5100.0,1.0,1.0,Mizoram
Andaman & Nicobar Islands,341.0,647426.35,19.0,4.0,341.0,314.0,,,,,Andaman and Nicobar
Puducherry,259.0,408931.35,29.0,2.0,259.0,234.0,78.0,69000.0,3.0,1.0,Puducherry
International,217.0,1022302.4,160.0,1.0,217.0,198.0,,,,,International
Dadra and Nagar Haveli and Daman and Diu,172.0,320229.15,7.0,2.0,172.0,155.0,1361.0,791700.0,2.0,1.0,Dadra and Nagar Haveli and Daman and Diu
Jammu and Kashmir,98.0,287750.0,59.0,12.0,98.0,98.0,44.0,33000.0,1.0,1.0,Jammu and Kashmir
Not Found,16.0,61423.2,1.0,1.0,16.0,15.0,,,,,Not Found
England,6.0,5040.0,2.0,1.0,6.0,6.0,,,,,England
Dadra and Nagar Haveli,5.0,19250.0,1.0,1.0,5.0,5.0,,,,,Dadra and Nagar Haveli
Andaman and Nicobar Islands,5.0,11725.0,3.0,2.0,5.0,5.0,,,,,Andaman and Nicobar Islands
Daman and Diu,3.0,10050.0,3.0,2.0,3.0,3.0,,,,,Daman and Diu
Lakshadweep,2.0,2599.0,2.0,1.0,2.0,1.0,,,,,Lakshadweep
JAMMU AND KASHMIR,,,,,,,51.0,33000.0,1.0,1.0,Jammu and Kashmir
NAGALAND,,,,,,,349.0,232000.0,1.0,1.0,Nagaland
RAJASTHAN,,,,,,,730.0,491700.0,9.0,6.0,Rajasthan
