city,pincodes,type,total_ss_ntb,avg_show_pct,total_ss_show_ntb,total_ss_monthly_rev,rev_12m_total,ntb_shows_12m,converted_12m
Mumbai,10,Same-City,2730,0.30036630036630035,820,5940000,59875971.755654134,8320,3330
Delhi,10,Same-City,2920,0.21232876712328766,620,4500000,45027032.031242155,6250,2500
Bengaluru,10,Same-City,2690,0.30111524163568776,810,5760000,58916685.05800137,8180,3270
Hyderabad,10,Same-City,3070,0.24104234527687296,740,5400000,53914475.823081516,7490,3000
Kolkata,10,Same-City,4410,0.23356009070294784,1030,7380000,75389130.32302128,10470,4190
Ahmedabad,10,Same-City,3650,0.21095890410958903,770,5580000,55988410.84348062,7780,3110
Pune,10,Same-City,2160,0.2824074074074074,610,4320000,44483691.97709963,6180,2470
Lucknow,10,Same-City,4040,0.14603960396039603,590,4320000,42978517.94785738,5970,2390
Surat,10,Same-City,2960,0.1554054054054054,460,3240000,33509611.486156065,4650,1860
Patna,10,Same-City,5630,0.11545293072824156,650,4680000,47440249.336135544,6590,2640
Coimbatore,5,New City,3150,0.2,630,4500000,46044000.00000001,6395,2560
Jamshedpur,5,New City,2250,0.2,450,3240000,32889600.0,4570,1830
Jabalpur,5,New City,1950,0.2,390,2790000,28504800.0,3960,1585
Patiala,5,New City,750,0.2,150,1080000,10965600.0,1525,610
Ernakulam/Kochi,5,New City,3150,0.2,630,4500000,46044000.00000001,6395,2560
Jodhpur,5,New City,1950,0.2,390,2790000,28504800.0,3960,1585
Mangalore,5,New City,1050,0.2,210,1530000,15350400.0,2130,850
Agartala,5,New City,750,0.2,150,1080000,10965600.0,1525,610
Bareilly,5,New City,1500,0.2,300,2160000,21924000.0,3045,1220
Vishakhapatnam,5,New City,3150,0.2,630,4500000,46044000.00000001,6395,2560
Jammu,5,New City,900,0.2,180,1260000,13154400.0,1825,730
Srinagar,5,New City,2250,0.2,450,3240000,32889600.0,4570,1830
Shillong,5,New City,600,0.2,120,900000,8769600.000000002,1220,490
Imphal,5,New City,750,0.2,150,1080000,10965600.0,1525,610
Gangtok,5,New City,225,0.2,45,360000,3297600.0,460,185
ALL CITIES,175,,58635,,11975,86130000,873837376.5817298,121380,48575
