sno,pincode,area,city,type,parent_clinic,parent_avg_ntb,ntb_scale_pct,projected_ss_ntb,projected_show_pct,monthly_show_ntb,conv_pct,monthly_converted,sale_per_patient,ss_monthly_revenue,m1_rev,m2_rev,m3_rev,m4_rev,m5_rev,m6_rev,m7_rev,m8_rev,m9_rev,m10_rev,m11_rev,m12_rev,rev_12m_total,ntb_shows_12m,converted_12m,ntb_appts_12m
1,400058,Andheri West,Mumbai,Same-City,Malad,545,0.5,273,0.300112132381281,82,0.4,33,18000,594000,177186.20295790833,296030.6073808956,382462.9015067045,471056.00298565865,531558.6088737249,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,5987597.175565412,832,333,2771
2,400069,Andheri East,Mumbai,Same-City,Malad,545,0.5,273,0.300112132381281,82,0.4,33,18000,594000,177186.20295790833,296030.6073808956,382462.9015067045,471056.00298565865,531558.6088737249,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,5987597.175565412,832,333,2771
3,400076,Powai,Mumbai,Same-City,Malad,545,0.5,273,0.300112132381281,82,0.4,33,18000,594000,177186.20295790833,296030.6073808956,382462.9015067045,471056.00298565865,531558.6088737249,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,5987597.175565412,832,333,2771
4,400053,Bandra East,Mumbai,Same-City,Malad,545,0.5,273,0.300112132381281,82,0.4,33,18000,594000,177186.20295790833,296030.6073808956,382462.9015067045,471056.00298565865,531558.6088737249,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,5987597.175565412,832,333,2771
5,400080,Ghatkopar,Mumbai,Same-City,Malad,545,0.5,273,0.300112132381281,82,0.4,33,18000,594000,177186.20295790833,296030.6073808956,382462.9015067045,471056.00298565865,531558.6088737249,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,5987597.175565412,832,333,2771
6,400072,Vikhroli,Mumbai,Same-City,Malad,545,0.5,273,0.300112132381281,82,0.4,33,18000,594000,177186.20295790833,296030.6073808956,382462.9015067045,471056.00298565865,531558.6088737249,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,5987597.175565412,832,333,2771
7,400016,Parel/Lower Parel,Mumbai,Same-City,Malad,545,0.5,273,0.300112132381281,82,0.4,33,18000,594000,177186.20295790833,296030.6073808956,382462.9015067045,471056.00298565865,531558.6088737249,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,5987597.175565412,832,333,2771
8,400104,Kandivali East,Mumbai,Same-City,Malad,545,0.5,273,0.300112132381281,82,0.4,33,18000,594000,177186.20295790833,296030.6073808956,382462.9015067045,471056.00298565865,531558.6088737249,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,5987597.175565412,832,333,2771
9,421301,Dombivli,Mumbai,Same-City,Malad,545,0.5,273,0.300112132381281,82,0.4,33,18000,594000,177186.20295790833,296030.6073808956,382462.9015067045,471056.00298565865,531558.6088737249,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,5987597.175565412,832,333,2771
10,400705,Airoli/Ghansoli,Mumbai,Same-City,Malad,545,0.5,273,0.300112132381281,82,0.4,33,18000,594000,177186.20295790833,296030.6073808956,382462.9015067045,471056.00298565865,531558.6088737249,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,589900.4074086458,5987597.175565412,832,333,2771
11,110034,Pitampura,Delhi,Same-City,Lajpat,584,0.5,292,0.210919205692534,62,0.4,25,18000,450000,133638.40872678955,221718.26902399174,288537.47338738653,355356.6777507813,399396.6078993824,443436.5380479835,443436.5380479835,443436.5380479835,443436.5380479835,443436.5380479835,443436.5380479835,443436.5380479835,4502703.203124215,625,250,2965
12,110052,Rohini,Delhi,Same-City,Lajpat,584,0.5,292,0.210919205692534,62,0.4,25,18000,450000,133638.40872678955,221718.26902399174,288537.47338738653,355356.6777507813,399396.6078993824,443436.5380479835,443436.5380479835,443436.5380479835,443436.5380479835,443436.5380479835,443436.5380479835,443436.5380479835,4502703.203124215,625,250,2965
13,110092,Shahdara,Delhi,Same-City,Lajpat,584,0.5,292,0.210919205692534,62,0.4,25,18000,450000,133638.40872678955,221718.26902399174,288537.47338738653,355356.6777507813,399396.6078993824,443436.5380479835,443436.5380479835,443436.5380479835,443436.5380479835,443436.5380479835,443436.5380479835,443436.5380479835,4502703.203124215,625,250,2965
14,110019,Nehru Place/Kalkaji,Delhi,Same-City,Lajpat,584,0.5,292,0.210919205692534,62,0.4,25,18000,450000,133638.40872678955,221718.26902399174,288537.47338738653,355356.6777507813,399396.6078993824,443436.5380479835,443436.5380479835,443436.5380479835,443436.5380479835,443436.5380479835,443436.5380479835,443436.5380479835,4502703.203124215,625,250,2965
15,110044,Dwarka,Delhi,Same-City,Lajpat,584,0.5,292,0.210919205692534,62,0.4,25,18000,450000,133638.40872678955,221718.26902399174,288537.47338738653,355356.6777507813,399396.6078993824,443436.5380479835,443436.5380479835,443436.5380479835,443436.5380479835,443436.5380479835,443436.5380479835,443436.5380479835,4502703.203124215,625,250,2965
