#,Clinic,City,Region,Tier,Avg NTB Appts,Current Show %,Current NTB Shows,Clinic Show% Override Δ,Effective Show% Δ,Projected Show %,Projected NTB Shows,Δ NTB Shows vs Current,Δ NTB Shows % Change,Show% vs Pan-India Avg,Status
1,Malad,Mumbai,West 1,P1,545,0.300112132381281,164,0,0,0.300112132381281,164,0,0,0.300112132381281,✓ Expand Now
2,JP Ng,Bengaluru,South,P1,537,0.299629180692875,161,0,0,0.299629180692875,161,0,0,0.299629180692875,✓ Expand Now
3,Thane,Thane,West 1,P1,559,0.254169061898226,142,0,0,0.254169061898226,142,0,0,0.254169061898226,✓ Expand Now
4,PCMC,Pune,West 1,P1,432,0.281856320820025,122,0,0,0.281856320820025,122,0,0,0.281856320820025,✓ Expand Now
5,Khadakpada,Kalyan,West 1,P1,376,0.281478109990696,106,0,0,0.281478109990696,106,0,0,0.281478109990696,✓ Expand Now
6,Virar,Mumbai,West 1,P1,362,0.281498862320995,102,0,0,0.281498862320995,102,0,0,0.281498862320995,✓ Expand Now
7,Shankar Ng,Raipur,West 2,P1,374,0.265416487368826,99,0,0,0.265416487368826,99,0,0,0.265416487368826,✓ Expand Now
8,Kharghar,Navi Mumbai,West 1,P1,349,0.284970648901277,99,0,0,0.284970648901277,99,0,0,0.284970648901277,✓ Expand Now
9,ABCPoint,Guwahati,East,P1,334,0.312296034342298,104,0,0,0.312296034342298,104,0,0,0.312296034342298,✓ Expand Now
10,Whitefield,Bengaluru,South,P1,283,0.34612539532026,98,0,0,0.34612539532026,98,0,0,0.34612539532026,✓ Expand Now
11,Sevoke Rd,Siliguri,East,P1,364,0.2602044649015,95,0,0,0.2602044649015,95,0,0,0.2602044649015,✓ Expand Now
12,Kanka,Ranchi,East,P1,283,0.31036286798709,88,0,0,0.31036286798709,88,0,0,0.31036286798709,✓ Expand Now
13,Kalyan Ng,Bengaluru,South,P1,249,0.332610062893082,83,0,0,0.332610062893082,83,0,0,0.332610062893082,✓ Expand Now
14,Margao,Margao (Goa),West 1,P1,244,0.303620781787803,74,0,0,0.303620781787803,74,0,0,0.303620781787803,✓ Expand Now
15,Basaveshwar,Bengaluru,South,P1,186,0.332083333333333,62,0,0,0.332083333333333,62,0,0,0.332083333333333,✓ Expand Now
16,Jayalakshmipuram,Mysuru,South,P1,210,0.289394244692172,61,0,0,0.289394244692172,61,0,0,0.289394244692172,✓ Expand Now
17,Dimapur,Dimapur,East,P1,179,0.290763460793112,52,0,0,0.290763460793112,52,0,0,0.290763460793112,✓ Expand Now
18,Mira Rd,Thane,West 1,P1,118,0.37695652173913,44,0,0,0.37695652173913,44,0,0,0.37695652173913,✓ Expand Now
19,Ballygunge,Kolkata,East,P2,882,0.233877876811795,206,0,0,0.233877876811795,206,0,0,0.233877876811795,→ Expand + Improve
20,Dadar,Mumbai,West 1,P2,656,0.236305924601787,155,0,0,0.236305924601787,155,0,0,0.236305924601787,→ Expand + Improve
21,Badakdev,Ahmedabad,West 2,P2,730,0.209826448265128,153,0,0,0.209826448265128,153,0,0,0.209826448265128,→ Expand + Improve
22,Madhapur,Hyderabad,South,P2,613,0.24023489387535,147,0,0,0.24023489387535,147,0,0,0.24023489387535,→ Expand + Improve
23,Lajpat,Delhi,North 1,P2,584,0.210919205692534,123,0,0,0.210919205692534,123,0,0,0.210919205692534,→ Expand + Improve
24,Viman,Pune,West 1,P2,532,0.220027808675275,117,0,0,0.220027808675275,117,0,0,0.220027808675275,→ Expand + Improve
25,Howrah,Kolkata,East,P2,548,0.222,122,0,0,0.222,122,0,0,0.222,→ Expand + Improve
26,Sec-51,Noida,North 1,P2,470,0.216297029460369,102,0,0,0.216297029460369,102,0,0,0.216297029460369,→ Expand + Improve
27,Kalasiguda,Secunderabad,South,P2,400,0.228111546689411,91,0,0,0.228111546689411,91,0,0,0.228111546689411,→ Expand + Improve
28,Ring Rd,Rajkot,West 2,P2,451,0.209522765592987,94,0,0,0.209522765592987,94,0,0,0.209522765592987,→ Expand + Improve
29,Janpath,Bhubaneswar,East,P2,385,0.242151982240105,93,0,0,0.242151982240105,93,0,0,0.242151982240105,→ Expand + Improve
30,Anna Ng,Chennai,South,P2,463,0.183572103120596,85,0,0,0.183572103120596,85,0,0,0.183572103120596,→ Expand + Improve
31,Sec-35,Chandigarh,North 1,P2,414,0.197350107082828,82,0,0,0.197350107082828,82,0,0,0.197350107082828,→ Expand + Improve
32,Sec-46,Gurugram,North 1,P2,422,0.191284043812342,81,0,0,0.191284043812342,81,0,0,0.191284043812342,→ Expand + Improve
33,Jalandhar,Jalandhar,North 1,P2,254,0.215254865896026,55,0,0,0.215254865896026,55,0,0,0.215254865896026,→ Expand + Improve
34,Nikol,Ahmedabad,West 2,P2,269,0.2,54,0,0,0.2,54,0,0,0.2,→ Expand + Improve
35,Canada,Nashik,West 1,P2,264,0.196146929778336,52,0,0,0.196146929778336,52,0,0,0.196146929778336,→ Expand + Improve
36,Adajan,Surat,West 2,P2,183,0.2375,43,0,0,0.2375,43,0,0,0.2375,→ Expand + Improve
37,Rajouri,Delhi,North 1,P3,691,0.170706178758749,118,0,0,0.170706178758749,118,0,0,0.170706178758749,⚠ Improve First
38,Dharam,Nagpur,West 1,P3,751,0.154686275489166,116,0,0,0.154686275489166,116,0,0,0.154686275489166,⚠ Improve First
39,Vesu,Surat,West 2,P3,591,0.154930516192096,92,0,0,0.154930516192096,92,0,0,0.154930516192096,⚠ Improve First
40,AB Rd,Indore,West 2,P3,495,0.175724387431633,87,0,0,0.175724387431633,87,0,0,0.175724387431633,⚠ Improve First
