Rank (Show%),Clinic,City,Region,Active Months,Avg NTB Appts,Avg Show % (L12M),Avg NTB Shows,All-Time Appts,All-Time Show %,Jan-25 Show%,Feb-25 Show%,Mar-25 Show%,Apr-25 Show%,May-25 Show%,Jun-25 Show%,Jul-25 Show%,Aug-25 Show%,Sep-25 Show%,Oct-25 Show%,Nov-25 Show%,Dec-25 Show%,Jan-26 Show%,Show% Tier,Expansion Priority (Show%-Based)
1,Itanagar,Itanagar,East,4,60.0,39.8%,23.5,240,39.2%,-,-,-,-,-,-,-,-,-,54.0%,38.0%,33.0%,34.0%,HIGH (≥25%),P3 - Standard (Improve Show% First)
2,Mira Rd,Thane,West 1,6,118.5,37.7%,42.7,711,36.0%,-,-,-,-,-,-,-,52.2%,38.0%,31.0%,34.0%,35.0%,36.0%,HIGH (≥25%),P1 - Immediate (High Conversion)
3,Whitefield,Bengaluru,South,12,283.2,34.6%,98.3,3557,34.4%,29.7%,33.9%,28.2%,31.0%,38.5%,34.1%,41.4%,33.3%,34.0%,30.0%,31.0%,39.0%,41.0%,HIGH (≥25%),P1 - Immediate (High Show% + High Volume)
4,Kalyan Ng,Bengaluru,South,6,249.2,33.3%,83.2,1495,33.2%,-,-,-,-,-,-,-,30.6%,32.0%,35.0%,35.0%,34.0%,33.0%,HIGH (≥25%),P1 - Immediate (High Show% + High Volume)
5,Basaveshwar,Bengaluru,South,6,186.3,33.2%,62.0,1118,33.4%,-,-,-,-,-,-,-,31.2%,30.0%,42.0%,29.0%,40.0%,27.0%,HIGH (≥25%),P1 - Immediate (High Conversion)
6,ABCPoint,Guwahati,East,11,333.7,31.2%,100.5,3671,30.0%,-,-,47.6%,28.8%,26.2%,24.8%,29.2%,31.0%,31.0%,31.0%,29.0%,32.0%,33.0%,HIGH (≥25%),P1 - Immediate (High Show% + High Volume)
7,Kanka,Ranchi,East,11,283.2,31.0%,87.5,3115,30.9%,-,-,6.0%,18.4%,24.7%,25.1%,21.3%,24.9%,37.0%,44.0%,56.0%,41.0%,43.0%,HIGH (≥25%),P1 - Immediate (High Show% + High Volume)
8,Margao,Margao (Goa),West 1,9,244.0,30.4%,73.2,2196,30.0%,-,-,-,-,40.7%,36.4%,35.7%,28.5%,24.0%,32.0%,31.0%,24.0%,21.0%,HIGH (≥25%),P1 - Immediate (High Conversion)
9,Malad,Mumbai,West 1,12,545.1,30.0%,163.1,7082,30.5%,38.1%,18.2%,25.8%,29.7%,31.0%,35.2%,32.9%,29.3%,29.0%,32.0%,30.0%,33.0%,34.0%,HIGH (≥25%),P1 - Immediate (High Show% + High Volume)
10,JP Ng,Bengaluru,South,12,537.0,30.0%,159.0,6862,29.5%,28.5%,32.0%,27.2%,38.2%,30.1%,31.6%,30.8%,25.5%,25.0%,30.0%,30.0%,32.0%,27.0%,HIGH (≥25%),P1 - Immediate (High Show% + High Volume)
