Rank,Pincode,Area,City,State,Total Qty,Total Revenue (₹),Unique Customers
1,201301,Noida,Gautam Buddha Nagar,Uttar Pradesh,2751,4717414,2413
2,122001,Mini Sectt.,Gurgaon,Haryana,1747,3160362,1579
3,248001,Dehradun,Dehradun,Uttarakhand,1602,2884109,1431
4,110059,New Delhi,Delhi,Delhi,1508,2755299,1362
5,401107,Thane,Mumbai,Maharashtra,1385,2372517,1226
6,110092,Delhi,Delhi,Delhi,1277,2146722,1158
7,110085,Delhi,Delhi,Delhi,1095,1867389,980
8,410206,Panvel,Raigarh(MH),Maharashtra,1052,1991950,926
9,560043,Bangalore North,Bengaluru,Karnataka,1028,1749978,881
10,797112,Dimapur,Dimapur,Nagaland,1022,1792507,944
11,560076,Bangalore South,Bengaluru,Karnataka,1019,1778564,887
12,284203,Garautha,Jalaun,Uttar Pradesh,1003,1210250,5
13,560037,Bangalore North,Bengaluru,Karnataka,995,1905107,875
14,201306,Dadri,Gautam Buddha Nagar,Uttar Pradesh,986,1848677,873
15,560068,Bangalore South,Bengaluru,Karnataka,985,1843535,864
16,143001,Amritsar -I,Amritsar,Punjab,982,1616279,894
17,411057,Haveli,Pune,Maharashtra,919,1775027,808
18,110018,New Delhi,Delhi,Delhi,906,1493158,812
19,797001,Kohima,Kohima,Nagaland,841,1457774,782
20,411014,Pune,Pune,Maharashtra,837,1472360,743
21,560100,Bangalore South,Bengaluru,Karnataka,835,1558096,734
22,122002,Dlf Qe,Gurgaon,Haryana,819,1328258,713
23,795001,Nil,Imphal,Manipur,794,1466585,732
24,201014,Ghaziabad,Ghaziabad,Uttar Pradesh,777,1310131,693
25,560078,Bangalore South,Bengaluru,Karnataka,755,1276533,666
26,492001,Raipur,Raipur,Chhattisgarh,752,1446012,684
27,560064,Bangalore North,Bengaluru,Karnataka,742,1275062,649
28,791111,Itanagar,Papum Pare,Arunachal Pradesh,717,1254452,674
29,400053,Mumbai,Mumbai,Maharashtra,711,1061078,630
30,201009,Ghaziabad,Ghaziabad,Uttar Pradesh,694,1352738,614
31,226010,Lucknow,Lucknow,Uttar Pradesh,694,1288929,618
32,421301,Kalyan,Mumbai,Maharashtra,693,1233565,626
33,400067,Mumbai,Mumbai,Maharashtra,685,1131412,606
34,110034,Delhi,Delhi,Delhi,674,1083857,622
35,410210,Panvel,Raigarh(MH),Maharashtra,669,1126923,596
36,110075,New Delhi,Delhi,Delhi,658,1078257,583
37,560066,Bangalore South,Bengaluru,Karnataka,658,1239680,579
38,400607,Thane,Mumbai,Maharashtra,647,1051005,571
39,411028,Pune City,Pune,Maharashtra,647,1196757,576
40,110017,New Delhi,Delhi,Delhi,643,1073764,575
41,400706,Thane,Mumbai,Maharashtra,635,1017175,552
42,140301,Ropar,Rupnagar,Punjab,634,1074760,571
43,201304,Dadri,Gautam Buddha Nagar,Uttar Pradesh,632,1065068,552
44,400101,Kandivali East,Mumbai,Maharashtra,620,981927,556
45,201310,Dadri,Gautam Buddha Nagar,Uttar Pradesh,617,1103408,555
46,411033,Pune City,Pune,Maharashtra,607,1194913,540
47,110019,New Delhi,Delhi,Delhi,594,960674,548
48,140603,chandigarh,Chandigarh,Chandigarh,592,1011331,543
49,400064,Malad West,Mumbai,Maharashtra,589,860912,525
50,122018,Gurgaon,Gurgaon,Haryana,585,904438,529
51,380015,Ahmadabad City,Ahmedabad,Gujarat,577,927344,516
52,110070,Delhi,Delhi,Delhi,573,926576,503
53,421201,Kalyan,Mumbai,Maharashtra,572,1084275,509
54,560102,Bangalore South,Bengaluru,Karnataka,569,988774,484
55,560035,Bangalore South,Bengaluru,Karnataka,568,1017182,483
56,791110,Naharlagun,Papum Pare,Arunachal Pradesh,559,959077,521
57,110045,New Delhi,Delhi,Delhi,554,1036449,502
58,500008,Golconda,Hyderabad,Telangana,552,1028432,482
59,421204,Kalyan,Mumbai,Maharashtra,550,1028777,484
60,147001,Patiala,Patiala,Punjab,549,944488,502
61,411048,Pune City,Pune,Maharashtra,543,985909,469
62,110025,New Delhi,Delhi,Delhi,537,960959,487
63,313001,Girwa,Udaipur,Rajasthan,536,985483,484
64,452001,Indore,Indore,Madhya Pradesh,534,940536,485
65,400078,Mumbai,Mumbai,Maharashtra,533,966900,463
66,122003,Sector -45,Gurgaon,Haryana,531,927494,456
67,110009,Delhi,Delhi,Delhi,529,805222,481
68,110032,Delhi,Delhi,Delhi,528,962768,473
69,411045,Pune City,Pune,Maharashtra,523,945779,451
70,141001,Ludhiana,Ludhiana,Punjab,511,829946,467
71,121001,Faridabad,Faridabad,Haryana,505,911304,468
72,412207,Daund,Pune,Maharashtra,502,924799,422
73,411027,Pune City,Pune,Maharashtra,502,953772,456
74,560032,Bangalore North,Bengaluru,Karnataka,500,885731,436
75,244001,Moradabad,Moradabad,Uttar Pradesh,500,926529,440
76,122017,Palam Vihar,Gurgaon,Haryana,499,909587,423
77,500084,Serilingampally,Hyderabad,Telangana,499,918490,430
78,834001,Ranchi,Ranchi,Jharkhand,496,944602,458
79,560067,Hosakote,Bengaluru,Karnataka,491,930854,426
80,500089,Rajendra Nagar,Hyderabad,Telangana,488,880476,405
81,201010,Ghaziabad,Ghaziabad,Uttar Pradesh,487,846292,448
82,110015,New Delhi,Delhi,Delhi,482,786868,426
83,400092,Borivali West,Mumbai,Maharashtra,479,778807,417
84,400615,Thane,Mumbai,Maharashtra,479,782956,436
85,400097,Malad East,Mumbai,Maharashtra,474,796457,419
86,560103,Bellandur,Bengaluru,Karnataka,473,819162,411
87,560016,Bangalore North,Bengaluru,Karnataka,472,906261,418
88,124001,Rohtak,Rohtak,Haryana,472,896242,441
89,400068,Dahisar West,Mumbai,Maharashtra,471,773008,426
90,201001,Ghaziabad,Ghaziabad,Uttar Pradesh,468,854280,421
91,110091,Delhi,Delhi,Delhi,467,829738,416
92,411021,Pune City,Pune,Maharashtra,465,815544,402
93,400601,Thane,Mumbai,Maharashtra,464,710380,404
94,400072,Chembur,Mumbai,Maharashtra,463,799914,408
95,400080,Mumbai,Mumbai,Maharashtra,461,735858,401
96,737101,Gangtok,East Sikkim,Sikkim,461,769686,419
97,201005,Loni,Ghaziabad,Uttar Pradesh,461,793938,411
98,431001,Aurangabad,Aurangabad,Maharashtra,455,871262,417
99,500032,Seri Lingampally,K.V.Rangareddy,Telangana,453,781968,388
100,121002,Faridabad,Faridabad,Haryana,448,757883,413
