Year,State,total_orders,total_revenue
2020,Andaman & Nicobar Islands,24,38680.0
2020,Andhra Pradesh,216,330212.0
2020,Arunachal Pradesh,766,998637.0
2020,Assam,973,1360118.0
2020,Bihar,219,342221.0
2020,Chandigarh,104,157232.0
2020,Chhattisgarh,307,488653.0
2020,Dadra and Nagar Haveli and Daman and Diu,5,7800.0
2020,Delhi,1232,1845947.0
2020,Goa,258,392300.0
2020,Gujarat,547,869060.0
2020,Haryana,745,1146941.0
2020,Himachal Pradesh,282,438579.0
2020,International,5,27200.0
2020,Jammu & Kashmir,268,414530.0
2020,Jharkhand,253,392762.0
2020,Karnataka,1278,1916767.0
2020,Kerala,201,305531.0
2020,Madhya Pradesh,488,779459.0
2020,Maharashtra,2545,4028760.0
2020,Manipur,319,449620.0
2020,Meghalaya,359,476199.0
2020,Mizoram,136,186500.0
2020,Nagaland,600,813444.0
2020,Odisha,386,575451.0
2020,Puducherry,8,12790.0
2020,Punjab,751,1146690.0
2020,Rajasthan,444,696176.0
2020,Sikkim,293,388958.0
2020,Tamil Nadu,349,542031.0
2020,Telangana,510,809550.0
2020,Tripura,105,150040.0
2020,Uttar Pradesh,2336,3284456.0
2020,Uttarakhand,305,489540.0
2020,West Bengal,868,1281161.0
2021,Andaman & Nicobar Islands,58,116159.0
2021,Andhra Pradesh,812,1480223.1
2021,Arunachal Pradesh,279,502313.0
2021,Assam,1624,3108305.4
2021,Bihar,515,1014359.8
2021,Chandigarh,300,572065.81
2021,Chhattisgarh,490,1027018.9
2021,Dadra and Nagar Haveli and Daman and Diu,18,32730.0
2021,Delhi,3056,5480537.55
2021,Goa,570,1047692.3
2021,Gujarat,1860,3508729.95
2021,Haryana,1775,3253102.45
2021,Himachal Pradesh,563,1089575.2
2021,International,100,481747.9
2021,Jammu & Kashmir,631,1220671.9
2021,Jharkhand,574,1214218.3
2021,Karnataka,4279,7515598.65
2021,Kerala,780,1129992.75
2021,Madhya Pradesh,1201,2406385.4
2021,Maharashtra,7387,13567153.96
2021,Manipur,206,390451.4
2021,Meghalaya,231,406591.0
2021,Mizoram,59,90309.0
2021,Nagaland,329,588893.5
2021,Not Found,5,24599.0
2021,Odisha,1022,2043824.95
2021,Puducherry,36,49257.2
2021,Punjab,1825,3407443.06
2021,Rajasthan,1046,1993485.9
2021,Sikkim,196,345627.4
2021,Tamil Nadu,1583,2368906.4
2021,Telangana,1908,3524687.2
2021,Tripura,90,181535.5
2021,Uttar Pradesh,3219,6290080.1
2021,Uttarakhand,697,1346601.5
2021,West Bengal,1917,3503787.66
2022,Andaman & Nicobar Islands,130,200695.4
2022,Andhra Pradesh,2218,3263324.09
2022,Arunachal Pradesh,1335,1939556.85
2022,Assam,5110,7067574.52
2022,Bihar,2821,4079149.68
2022,Chandigarh,919,1309923.7
2022,Chhattisgarh,2086,3441564.42
2022,Dadra and Nagar Haveli and Daman and Diu,61,97298.55
2022,Delhi,10205,14496440.83
2022,Goa,1675,2582499.9
