month_num,avg_1cx,clinics
0,37.395833333333336,48
1,83.20408163265306,49
2,94.4,45
3,100.91111111111111,45
4,112.6590909090909,44
5,121.45238095238095,42
6,116.4390243902439,41
7,110.72972972972973,37
8,121.63888888888889,36
9,107.47058823529412,34
10,103.9,30
11,86.5,26
12,86.82608695652173,23
13,96.25,20
14,99.27777777777777,18
15,111.3076923076923,13
16,109.9090909090909,11
17,123.625,8
18,107.57142857142857,7
19,65.5,4
20,52.5,2
21,50.0,1
22,106.0,2
23,172.0,1
24,165.0,1
25,158.0,1
26,155.0,1
27,130.0,1
28,50.0,1
