area,code,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02
Malad,1001,20.0,113.0,192.0,190.0,303.0,236.0,192.0,198.0,261.0,193.0,158.0,139.0,121.0,163.0,207.0,212.0,170.0,205.0,232.0,0.0,0.0,0.0,186.0,172.0,165.0,158.0,155.0,130,50
Dadar,1007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,116.0,134.0,165.0,141.0,126.0,176.0,172.0,169.0,0.0,0.0,0.0,172.0,172.0,179.0,186.0,147.0,147,39
Thane,1004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,113.0,138.0,141.0,201.0,175.0,116.0,98.0,199.0,193.0,0.0,0.0,0.0,152.0,146.0,109.0,114.0,89.0,94,27
Virar,1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,108.0,112.0,102.0,117.0,138.0,125.0,0.0,0.0,0.0,147.0,138.0,107.0,121.0,101.0,99,37
Kharghar,1017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,89.0,92.0,98.0,115.0,0.0,0.0,0.0,119.0,142.0,98.0,119.0,93.0,73,28
Khadakpada,1047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,148.0,119.0,123.0,119.0,84,31
Mira Rd,1051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,53.0,46.0,49.0,58.0,42,16
Viman,1002,0.0,0.0,0.0,0.0,0.0,0.0,69.0,78.0,100.0,153.0,181.0,160.0,149.0,169.0,223.0,219.0,197.0,192.0,187.0,0.0,0.0,0.0,173.0,150.0,142.0,106.0,73.0,50,26
PCMC,1029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,107.0,0.0,0.0,0.0,169.0,180.0,147.0,165.0,130.0,130,39
Kondhwa,1059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,40,12
Dharam,1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,75.0,122.0,191.0,142.0,146.0,118.0,125.0,0.0,0.0,0.0,184.0,172.0,125.0,136.0,121.0,102,38
Canada,1039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,69.0,71.0,71.0,75.0,50,18
Kailash Ng,1046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,101.0,71.0,51.0,46.0,61,26
