area,city,state,clinic_code,new_clinic_code,opening_date,address,landmark,location
Malad,Mumbai,Maharashtra ,MHMUM01,MHMUM01-ML,2023-10-15,"Kojar Imperia, Swami Vivekananda Rd, opp. Sunder Nagar, Malad, Liliya Nagar, Malad West, Mumbai, Maharashtra 400064",Opposite to Sunder Nagar,"Mumbai, Maharashtra 400064"
Viman Nagar,Pune,Maharashtra ,MHPUN01,MHPUN01-VN,2024-04-01,"Nyati Empress, A 04, Clover Park, Viman Nagar, Pune, Maharashtra 411014",Near Pheonix Marketcity Mall,"Pune, Maharashtra 411014"
Lajpat Nagar,New Delhi,Delhi,DLNDL01,DLNDL01-LN,2024-06-01,"Lower ground floor, B-21, behind Metro pillar no 10, Block B, Lajpat Nagar II, Lajpat Nagar, New Delhi, Delhi 110024",Near Lajpat Metro Station,
,Thane,Maharashtra ,MHTHN01,MHTHN01-KW,2024-07-06,"108, First Floor, Florence Tower, Next To Vijay Park, Vijay Park Complex Rd, Kasarvadavali, Thane West, Thane, Maharashtra",,"Thane West, Thane, Maharashtra"
JP Nagar,Bangalore ,Karnataka ,KABLR01,KABLR01-JP,2024-07-27,"Ground Floor, 43, 8th Main Rd, KSRTC Layout, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560078",Near The Blue Wagon - Kitchen,
Rajouri Garden,New Delhi,Delhi,DLNDL02,DLNDL02-RG,2024-08-31,"1st Floor, FB-1, Pocket FB, Shivaji Enclave, Rajouri Garden, New Delhi, Delhi, 110027",Near Hotel Eternity,
Dadar,Mumbai,Maharashtra ,MHMUM02,MHMUM02-DR,2024-08-31,"Ground Floor Shop No - 11/12, Sarvodaya Trust Building, Gokhale Rd S, near Portuguese Church, Dadar West, Mumbai, Maharashtra 400028",Near Portuguese Church,"Mumbai, Maharashtra 400028"
Amaravati Road,Nagpur,Maharashtra ,MHNAG01,MHNAG01-DP,2024-09-14,"Shop No UGF 3 at, Jagat Millenium, Amravati Rd, opp. RTO office, Dharampeth, Nagpur, Maharashtra 440010",Near Law College Square,
,Noida,Uttar Pradesh ,UPNOI01,UPNOI01-51,2024-10-06,"1st floor, B1A/12, Market, above Bank of Baroda, B Block, Sector 51, Noida, Uttar Pradesh 201301",Near Sector 34 Metro Station,
Madhapur,Hyderabad ,Telangana,TLHYD01,TLHYD01-MP,2024-10-12,"1st Floor, Accord Bleu, 1-65/82& 83, Kavuri Hills Phase 3, Kavuri Hills, Madhapur, Hyderabad, Telangana 500081",Near Hotel Jubilee Ridge,
