area,code,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02
Malad,1001,1.0,1.504424778761062,4.895833333333333,3.1052631578947367,2.31023102310231,3.0932203389830506,4.010416666666666,2.525252525252525,2.337164750957854,3.8860103626943006,5.88607594936709,5.323741007194245,5.31404958677686,3.9447852760736195,4.8019323671497585,5.834905660377359,6.205882352941177,5.512195121951219,5.129310344827586,5.527638190954773,4.163424124513619,4.317180616740088,6.14516129032258,5.618238372093023,8.776807006060606,9.063860759493672,11.482967741935482,12.23776923076923,9.3842
Dadar,1007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.222222222222225,5.258620689655172,4.440298507462686,3.7575757575757573,4.8936170212765955,5.190476190476191,5.562499999999999,5.232558139534883,5.147928994082839,5.26595744680851,4.247787610619469,4.268292682926829,5.325581395348837,5.667180232558139,7.041876234636872,7.322258064516129,10.001768707482993,11.382925170068027,8.79846153846154
Thane,1004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6263736263736264,6.283185840707964,5.217391304347826,4.588652482269504,3.7960199004975124,5.154285714285715,5.5,6.755102040816327,5.527638190954773,4.922279792746115,3.904761904761904,4.285714285714286,4.239631336405529,6.05921052631579,6.248479452054795,7.950444800917431,7.572543859649123,10.908539325842698,12.740319148936171,8.941481481481482
Virar,1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,4.083333333333334,4.955357142857143,5.8921568627450975,5.683760683760684,5.144927536231884,4.8,8.88888888888889,4.393063583815029,4.713375796178344,6.054421768707483,5.969601449275362,7.62330648598131,7.972727272727273,10.169999999999998,11.503939393939394,8.41918918918919
Kharghar,1017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7741935483870965,4.876404494382022,6.043478260869565,5.102040816326531,5.304347826086957,3.658536585365854,4.27027027027027,4.375,5.84873949579832,6.508514084507042,7.51101287755102,6.796050420168068,9.869032258064516,11.196986301369863,8.176428571428572
Khadakpada,1047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1578947368421053,5.7172413793103445,6.401189189189189,7.905607461344538,7.534390243902439,10.737899159663867,12.740357142857142,8.941290322580645
Mira Rd,1051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.28,7.632528301886792,7.969135069565217,8.683469387755101,10.983620689655172,12.428333333333335,8.725
Viman,1002,0.0,0.0,0.0,0.0,0.0,0.0,3.043478260869565,7.564102564102565,6.5,7.647058823529412,7.016574585635359,7.9375,7.3347315436241605,3.497041420118343,4.112107623318386,4.273972602739726,4.776649746192893,5.625,3.903743315508021,4.924242424242424,4.044943820224719,4.245810055865921,5.358381502890174,6.14724,6.4809170359154935,7.480849056603773,10.3086301369863,11.1238,7.035
PCMC,1029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.500000000000001,3.925233644859813,4.133333333333333,3.8613861386138613,4.339622641509433,5.3017751479289945,5.987138888888889,6.480917036054422,7.526242424242424,10.308615384615385,11.12376923076923,7.035128205128205
Kondhwa,1059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.92595744680851,16.01125,9.054166666666665
