area,code,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02
Malad,1001,15.0,15.929203539823009,19.270833333333332,23.68421052631579,19.471947194719473,24.576271186440678,33.333333333333336,32.32323232323232,28.35249042145594,34.196891191709845,39.24050632911392,43.16546762589928,47.10743801652892,30.674846625766868,29.149797101449277,28.122094811320753,34.36041176470587,31.839580487804884,29.287120689655175,30.19706532663316,26.84824902723735,30.396475770925107,25.20747311827957,27.906976744186046,27.696969696969695,35.06329113924051,30.41290322580645,38.57392307692308,39.57412
Dadar,1007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22222222222222,20.689655172413794,19.402985074626862,20.60606060606061,23.112714184397166,29.721581984126985,25.914081477272727,28.69175581395349,31.790585798816565,30.358505319148936,26.106194690265486,25.203252032520325,29.08720930232558,29.302325581395348,29.441340782122904,30.430107526881716,33.585034013605444,33.83349659863945,29.78758974358974
Thane,1004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.967032967032964,22.123893805309734,19.565217391304348,17.73049645390071,14.427860696517413,20.667714285714286,22.99258620689655,32.289336734693876,22.993170854271355,21.445082901554404,23.915857142857142,21.235521235521237,25.345622119815665,29.136907894736844,28.356164383561644,29.81651376146789,37.19298245614035,34.08988764044944,36.858457446808515,30.433666666666667
Virar,1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,19.444444444444446,24.563464285714286,30.642304117647058,24.343444444444447,22.306262391304347,30.730719999999998,28.62302564102564,25.433526011560694,30.573248407643312,31.379591836734694,28.985507246376812,33.271028037383175,36.11570247933884,37.34653465346534,37.89215151515151,31.719
Kharghar,1017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.288709677419355,28.926966292134832,31.146847826086955,29.14490714285714,30.67565217391304,28.128963414634146,29.18918918918919,30.113636363636363,27.050420168067227,29.788732394366196,30.51020408163265,38.23529411764706,30.72043010752688,35.58430136986301,38.17210714285714
Khadakpada,1047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.05263157894737,21.439310344827586,19.7972972972973,28.067226890756302,32.520325203252035,30.445378151260506,36.56428571428572,40.95806451612903
Mira Rd,1051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.56,23.39622641509434,28.695652173913043,29.591836734693874,27.13793103448276,27.905309523809525,37.8318125
Viman,1002,0.0,0.0,0.0,0.0,0.0,0.0,42.028985507246375,26.923076923076923,26.0,22.875816993464053,22.65193370165746,20.625,22.81879194630873,23.076923076923077,22.408401704035875,23.86236894977169,26.801251421319794,26.07685890625,26.22851871657754,37.12121212121212,28.089887640449437,30.167597765363126,26.86690751445087,25.2,24.29577464788732,29.339622641509436,33.10958904109589,36.45,34.231153846153845
PCMC,1029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5998,17.260514018691588,18.0,22.77227722772277,25.943396226415093,22.112483431952665,20.27777777777778,20.74829931972789,27.696969696969695,28.607692307692307,29.404230769230768,30.06153846153846
Kondhwa,1059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.659574468085104,27.35875,41.96249999999999
