Clinic Loc,Zip,SubCity,City,State,qty,revenue
AB Rd,45501,-,-,-,72,48000.0
AB Rd,176077,-,-,-,63,58000.0
AB Rd,230001,Pratapgarh,Pratapgarh,Uttar Pradesh,73,60000.0
AB Rd,281001,Sadabad,Hathras,Uttar Pradesh,63,38000.0
AB Rd,302001,Jaipur,Jaipur,Rajasthan,56,58000.0
AB Rd,303008,Jaipur,Jaipur,Rajasthan,69,58000.0
AB Rd,312605,Pratbgarh,Chittorgarh,Rajasthan,46,30000.0
AB Rd,326514,Jhalawar,Jhalawar,Rajasthan,48,30000.0
AB Rd,400609,-,-,-,37,30000.0
AB Rd,425405,Shirpur,Dhule,Maharashtra,69,38000.0
AB Rd,441912,Tumsar,Bhandara,Maharashtra,1,1000.0
AB Rd,450001,Khandwa,Burhanpur,Madhya Pradesh,167,122000.0
AB Rd,450331,Nepanagar,Chhindwara,Madhya Pradesh,57,59000.0
AB Rd,450551,Khandwa,Khandwa,Madhya Pradesh,51,30000.0
AB Rd,450554,Khandwa,East Nimar,Madhya Pradesh,10,10000.0
AB Rd,451001,Khargone,West Nimar,Madhya Pradesh,595,434999.0
AB Rd,451115,Khandwa,East Nimar,Madhya Pradesh,137,116000.0
AB Rd,451125,-,-,-,54,30000.0
AB Rd,451221,Maheshwar,West Nimar,Madhya Pradesh,50,30000.0
AB Rd,451225,Maheshwar,West Nimar,Madhya Pradesh,7,5000.0
AB Rd,451228,Kasrawad,West Nimar,Madhya Pradesh,57,30000.0
AB Rd,451332,Jhirniya,Khargone,Madhya Pradesh,61,50000.0
AB Rd,451335,Kasrawad,West Nimar,Madhya Pradesh,7,6000.0
AB Rd,451551,Barwani,-,-,185,129000.0
AB Rd,451666,Sendhwa,Barwani,Madhya Pradesh,46,32000.0
AB Rd,452001,Indore,Indore,Madhya Pradesh,14183,10560657.0
AB Rd,452002,Indore,Indore,Madhya Pradesh,10,10000.0
AB Rd,452003,Indore,Indore,Madhya Pradesh,101,80000.0
AB Rd,452005,Indore,Indore,Madhya Pradesh,507,372000.0
AB Rd,452006,Indore,Indore,Madhya Pradesh,145,90000.0
AB Rd,452008,Indore,Indore,Madhya Pradesh,13,11000.0
AB Rd,452009,Indore,Indore,Madhya Pradesh,168,118000.0
AB Rd,452010,Indore,Indore,Madhya Pradesh,5136,3887200.0
AB Rd,452011,Indore,Indore,Madhya Pradesh,51,30000.0
AB Rd,452013,Indore,Indore,Madhya Pradesh,39,30000.0
AB Rd,452014,Indore,Indore,Madhya Pradesh,12,11000.0
AB Rd,452015,Indore,Indore,Madhya Pradesh,113,80000.0
AB Rd,452016,Indore,Indore,Madhya Pradesh,223,141000.0
AB Rd,452020,Indore,Indore,Madhya Pradesh,226,149000.0
AB Rd,453001,Depalpur,Indore,Madhya Pradesh,55,40000.0
AB Rd,453115,Depalpur,Indore,Madhya Pradesh,26,24000.0
AB Rd,453331,Mhow,Indore,Madhya Pradesh,348,241000.0
AB Rd,453441,Mhow,Indore,Madhya Pradesh,704,527000.0
AB Rd,453551,Sanwer,Indore,Madhya Pradesh,1,1000.0
AB Rd,453555,Sanwer,Indore,Madhya Pradesh,42,30000.0
AB Rd,453771,Indore,Indore,Madhya Pradesh,116,90000.0
AB Rd,454001,Dhar,Dhar,Madhya Pradesh,421,349999.0
AB Rd,454446,Manawar,Dhar,Madhya Pradesh,122,78000.0
AB Rd,454552,Dharampuri,Dhar,Madhya Pradesh,6,5000.0
AB Rd,454660,Sardarpur,Dhar,Madhya Pradesh,63,53000.0
AB Rd,454665,Badnawar,Dhar,Madhya Pradesh,46,36000.0
AB Rd,454773,Dhar,Dhar,Madhya Pradesh,4,5000.0
AB Rd,454775,Dhar,Dhar,Madhya Pradesh,411,327332.0
AB Rd,455001,Dewas,Dewas,Madhya Pradesh,868,640000.0
AB Rd,455118,-,-,-,71,20999.6
AB Rd,455336,Khategaon,Dewas,Madhya Pradesh,144,105000.0
AB Rd,455771,-,-,-,78,50000.0
AB Rd,456001,Ujjain,Ujjain,Madhya Pradesh,911,659000.0
AB Rd,456006,Ghatiya,Ujjain,Madhya Pradesh,225,189000.0
AB Rd,456010,Ujjain,Ujjain,Madhya Pradesh,197,135000.0
AB Rd,456016,-,-,-,57,38000.0
AB Rd,456224,Khacharod,Ujjain,Madhya Pradesh,216,158000.0
AB Rd,456331,Nagda,Ujjain,Madhya Pradesh,227,152000.0
AB Rd,456335,Nagda,Ujjain,Madhya Pradesh,106,78000.0
AB Rd,456443,Mahidpur,Ujjain,Madhya Pradesh,62,50000.0
AB Rd,456771,Barnagar,Ujjain,Madhya Pradesh,34,29000.0
AB Rd,457001,Ratlam,Ratlam,Madhya Pradesh,547,434000.0
AB Rd,457222,Ratlam,Ratlam,Madhya Pradesh,31,20000.0
AB Rd,457226,Jaora,-,-,142,119000.0
AB Rd,457555,Ratlam,Ratlam,Madhya Pradesh,18,11000.0
AB Rd,457661,Jhabua,Jhabua,Madhya Pradesh,52,58000.0
AB Rd,457773,Petlawad,Jhabua,Madhya Pradesh,91,69000.0
AB Rd,457775,Jhabua,Jhabua,Madhya Pradesh,14,10000.0
AB Rd,457779,Meghnagar,Jhabua,Madhya Pradesh,42,30000.0
AB Rd,457887,Jhabua,Jhabua,Madhya Pradesh,76,64000.0
AB Rd,458001,Mandsaur,Mandsaur,Madhya Pradesh,252,182000.0
AB Rd,458441,Neemuch,Neemuch,Madhya Pradesh,114,73000.0
AB Rd,458556,Malhargarh,Mandsaur,Madhya Pradesh,115,90000.0
AB Rd,460330,Betul,Betul,Madhya Pradesh,26,20000.0
AB Rd,461331,Harda,Harda,Madhya Pradesh,78,49999.0
AB Rd,461441,Khirkiya,Harda,Madhya Pradesh,47,30000.0
AB Rd,464993,Huzur,Bhopal,Madhya Pradesh,25,20000.0
AB Rd,465001,Shajapur,Shajapur,Madhya Pradesh,6,5000.0
AB Rd,465106,Shajapur,Shajapur,Madhya Pradesh,7,5000.0
AB Rd,465337,-,-,-,66,59000.0
AB Rd,465441,Agar Malwa,Shajapur,Madhya Pradesh,67,52000.0
AB Rd,465661,Rajgarh(bia),Rajgarh,Madhya Pradesh,131,110000.0
AB Rd,465667,Narsinghgarh,Rajgarh,Madhya Pradesh,63,38000.0
AB Rd,465671,-,-,-,68,58000.0
AB Rd,465687,Biaora,Rajgarh,Madhya Pradesh,13,10000.0
AB Rd,465697,Sarangpur,-,-,14,11000.0
AB Rd,466116,Ashta,Sehore,Madhya Pradesh,94,69000.0
AB Rd,470002,Sagar,Sagar,Madhya Pradesh,37,30000.0
AB Rd,472001,Tikamgarh,Tikamgarh,Madhya Pradesh,47,30000.0
AB Rd,473001,Guna,Guna,Madhya Pradesh,1,1000.0
AB Rd,473351,Bhopal,Bhopal,Madhya Pradesh,39,30000.0
AB Rd,473551,Shivpuri,Shivpuri,Madhya Pradesh,60,51000.0
AB Rd,474011,Gird,Gwalior,Madhya Pradesh,8,5000.0
AB Rd,474012,Gird,Gwalior,Madhya Pradesh,59,48000.0
AB Rd,477001,Bhind,Bhind,Madhya Pradesh,58,58000.0
AB Rd,480001,Chhindwara,Chhindwara,Madhya Pradesh,65,50000.0
AB Rd,481001,Balaghat,Balaghat,Madhya Pradesh,51,35000.0
AB Rd,482001,Jabalpur,Jabalpur,Madhya Pradesh,139,110000.0
AB Rd,482004,Jabalpur,Jabalpur,Madhya Pradesh,39,30000.0
AB Rd,483501,Katni,Katni,Madhya Pradesh,112,78000.0
AB Rd,484776,Beohari,Shahdol,-,57,50000.0
AB Rd,485771,Maihar,Satna,Madhya Pradesh,27,20000.0
AB Rd,486001,Huzur,Rewa,Madhya Pradesh,86,53333.0
AB Rd,486117,Teonthar,Rewa,Madhya Pradesh,1,1000.0
AB Rd,497778,Janakpur,Koriya,Chhattisgarh,51,30000.0
AB Rd,4500001,-,-,-,1,1000.0
AB Rd,4520001,-,-,-,1,1000.0
AB Rd,4542001,-,-,-,78,40000.0
AB Rd,4572221,-,-,-,45,30000.0
ABCPoint,110044,New Delhi,Delhi,Delhi,52,33000.0
ABCPoint,221001,Varanasi,Varanasi,Uttar Pradesh,5,0.0
ABCPoint,682040,Kanayannur,Ernakulam,Kerala,10,10000.0
ABCPoint,722144,Onda,Bankura,West Bengal,66,38000.0
ABCPoint,734101,Darjeeling Pulbazar,Darjiling,West Bengal,24,22000.0
ABCPoint,737132,Rangpo,East Sikkim,Sikkim,9,10500.0
ABCPoint,780030,-,-,-,1,1000.0
ABCPoint,781001,Gmc,Kamrup,Assam,391,286000.0
ABCPoint,781002,Guwahati,Kamrup,Assam,95,83500.0
ABCPoint,781003,Gmc,Kamrup,Assam,613,408000.0
ABCPoint,781004,-,-,-,91,60000.0
ABCPoint,781005,Gmc,Kamrup,Assam,939,613000.0
ABCPoint,781006,Gmc,Kamrup,Assam,512,333100.0
ABCPoint,781007,Gmc,Kamrup,Assam,378,238500.0
ABCPoint,781008,Gmc,Kamrup,Assam,221,153500.0
ABCPoint,781009,Gmc,Kamrup,Assam,230,141500.0
ABCPoint,781011,Gmc,Kamrup,Assam,545,389000.0
ABCPoint,781012,Palasbari Circle,Kamrup,Assam,485,334000.0
ABCPoint,781014,Gmc,Kamrup,Assam,171,141000.0
ABCPoint,781015,Gmc,Kamrup,Assam,10,10500.0
