pin_int,unique_clinic_patients,clinic_orders,clinic_revenue,clinics_visited
100001,2,128,76000.0,1
100011,2,64,38000.0,1
100020,1,1,1000.0,1
100101,2,140,76000.0,1
100202,1,50,33000.0,1
100203,1,1,1000.0,1
101001,1,39,18000.0,1
101011,1,65,38000.0,1
101019,1,10,8500.0,1
101213,14,276,200250.0,2
102002,2,8,6000.0,2
102201,1,36,28500.0,1
103106,1,51,33000.0,1
104103,1,2,0.0,1
106103,2,88,43000.0,2
110001,44,1117,760925.0,12
110002,38,1163,738866.0,4
110003,40,1424,862024.0,3
110004,1,50,40100.0,1
110005,47,1533,1021509.7,6
110006,62,1736,1088120.0,3
110007,50,1278,878985.0,9
110008,41,1379,895635.0,4
110009,49,1266,928399.0,6
110010,34,975,672160.0,5
110011,15,581,342200.0,2
110012,15,403,311700.0,3
110013,18,688,390400.0,2
110014,28,1060,730105.0,3
110015,65,1876,1245170.0,5
110016,18,381,236600.0,1
110017,205,4221,2618267.6,17
110018,118,3410,2318290.0,6
110019,108,3102,2031989.0,6
110020,55,1026,646020.0,3
110021,25,786,478025.0,7
110022,56,1678,1050475.0,4
110023,18,519,336850.0,3
110024,273,5176,3322115.0,12
110025,156,4618,2975961.0,9
110026,7,139,79350.0,2
110027,804,28816,17080499.0,7
110028,39,1404,879400.0,3
110029,38,1147,766390.0,4
110030,61,1857,1293900.0,5
110031,40,1161,825110.0,4
110032,71,1922,1294380.0,8
110033,61,1781,1177442.0,5
110034,85,2870,1971633.0,4
110035,31,850,560700.0,4
110036,10,252,162100.0,5
110037,37,1337,843770.0,6
110038,13,222,161260.0,5
110039,22,766,466170.0,4
110040,28,1109,794670.0,3
110041,57,1692,1161320.0,4
110042,43,1150,868248.0,4
110043,70,2427,1633980.0,5
110044,169,4814,3135440.0,7
110045,102,3120,2118902.0,7
110046,20,930,609920.0,3
110047,37,1381,901500.0,4
110048,25,871,623820.0,3
110049,40,1138,761560.0,4
110050,4,56,43200.0,1
110051,43,1440,1013020.0,3
110052,33,1098,765250.0,4
110053,129,4050,2659820.0,9
110054,19,662,415700.0,2
110055,23,850,513280.0,3
110056,7,193,117300.0,4
110057,17,306,231840.0,4
110058,26,579,380589.0,5
110059,292,8994,6029001.0,12
110060,10,339,213600.0,3
110061,9,333,244940.0,3
110062,109,3717,2392080.0,3
110063,37,991,680979.0,2
110064,26,799,549409.0,2
110065,59,2206,1410820.0,4
110066,11,212,150600.0,2
110067,17,463,289710.0,2
110068,24,890,624300.0,4
110069,2,5,5800.0,1
110070,36,1268,777231.0,4
110071,6,235,182330.0,2
110072,11,349,267289.0,3
110073,3,50,43500.0,1
110074,63,2116,1369939.0,5
110075,63,1527,1030526.9,9
110076,56,1757,1149940.0,4
