area,code,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02
Malad,1001,34.0,102.0,191.0,290.0,458.0,539.0,619.0,645.0,705.0,681.0,698.0,667.0,645.0,509.0,547.0,568.0,556.0,589.0,602.0,0.0,0.0,0.0,719.0,0.0,636.0,669.0,665.0,631,203
Dadar,1007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,41.0,116.0,192.0,241.0,271.0,319.0,399.0,422.0,0.0,0.0,0.0,585.0,0.0,585.0,600.0,583.0,550,187
Thane,1004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,130.0,159.0,195.0,178.0,234.0,263.0,269.0,294.0,286.0,0.0,0.0,0.0,498.0,0.0,450.0,516.0,479.0,461,121
Virar,1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,67.0,184.0,231.0,237.0,301.0,347.0,0.0,0.0,0.0,461.0,0.0,461.0,479.0,476.0,507,168
Kharghar,1017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,75.0,129.0,177.0,238.0,0.0,0.0,0.0,472.0,0.0,504.0,534.0,480.0,459,159
Khadakpada,1047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,209.0,267.0,340.0,400,109
Mira Rd,1051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,73.0,97.0,118.0,131,60
Viman,1002,0.0,0.0,0.0,0.0,0.0,0.0,126.0,176.0,259.0,266.0,314.0,298.0,366.0,331.0,393.0,446.0,475.0,513.0,450.0,0.0,0.0,0.0,456.0,0.0,384.0,396.0,383.0,346,98
PCMC,1029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,67.0,0.0,0.0,0.0,351.0,0.0,368.0,446.0,476.0,473,153
Kondhwa,1059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,42,27
Dharam,1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,68.0,78.0,156.0,179.0,182.0,197.0,235.0,0.0,0.0,0.0,369.0,0.0,362.0,340.0,348.0,320,81
Canada,1039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,153.0,193.0,198.0,236,69
Kailash Ng,1046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,122.0,153.0,189.0,202,45
Margao,1036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,198.0,264.0,254.0,249,54
Badakdev,1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,35.0,128.0,221.0,0.0,0.0,0.0,532.0,0.0,540.0,607.0,637.0,572,159
Alkapuri,1023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,36.0,66.0,0.0,0.0,0.0,273.0,0.0,301.0,368.0,391.0,399,123
Vesu,1025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,62.0,104.0,0.0,0.0,0.0,395.0,0.0,542.0,470.0,463.0,380,104
