area,code,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02
Malad,1001,0.03,0.18,0.37,0.45,0.59,0.58,0.64,0.64,0.74,0.66,0.62,0.6,0.57,0.5,0.6034008,0.59618841,0.584127,0.6527114,0.6794612,0.6009216,0.69,0.69,0.468859,0.48,0.457,0.554,0.4714,0.0,0.0
Dadar,1007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.24,0.26,0.34,0.32588927,0.374491933,0.456087834,0.4934982,0.5372609,0.5707399,0.59,0.62,0.5003,0.504,0.527,0.566,0.4937,0.0,0.0
Thane,1004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.25,0.27,0.25,0.29,0.361685,0.266714,0.3164355,0.4575641,0.4138901,0.502233,0.55,0.55,0.442881,0.414,0.325,0.424,0.3034,0.0,0.0
Virar,1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.21,0.2751108,0.312551502,0.2848183,0.307826421,0.384134,0.3348894,0.44,0.48,0.46128,0.4,0.356,0.437,0.3772,0.0,0.0
Kharghar,1017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15059,0.25745,0.286551,0.28562009,0.35277,0.461315,0.54,0.53,0.3219,0.423,0.299,0.455,0.2857,0.0,0.0
Khadakpada,1047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.31087,0.293,0.334,0.4,0.3623,0.0,0.0
Mira Rd,1051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0689,0.124,0.132,0.145,0.1574,0.0,0.0
Viman,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.21,0.26,0.35,0.41,0.33,0.34,0.39,0.499707358,0.52258588,0.527984653,0.500675691,0.4904733,0.49,0.5,0.54,0.4647975,0.378,0.345,0.311,0.2417,0.0,0.0
PCMC,1029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0291996,0.1846875,0.27,0.46,0.55,0.37370097,0.365,0.305,0.457,0.3719,0.0,0.0
Kondhwa,1059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1206,0.0,0.0
Dharam,1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1395473,0.1510979,0.219986,0.324096,0.291756,0.2819925,0.359610175,0.32808,0.41,0.42,0.45,0.461245,0.371,0.285,0.391,0.3662,0.0,0.0
Canada,1039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.11,0.13,0.204425,0.17,0.16,0.187,0.2347,0.0,0.0
Kailash Ng,1046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.131817,0.176,0.151,0.182,0.1341,0.0,0.0
