month,clinics_cr,video_cr,clinics_1cx,clinics_rcx
2023-10,0.03,0.0,20.0,34.0
2023-11,0.18,0.0,113.0,102.0
2023-12,0.37,0.0,192.0,191.0
2024-01,0.45,0.0,190.0,290.0
2024-02,0.59,0.11,303.0,458.0
2024-03,0.58,0.22,236.0,539.0
2024-04,0.9299999999999999,0.31,261.0,745.0
2024-05,0.85,0.38,276.0,821.0
2024-06,1.58,0.39,583.0,1184.0
2024-07,1.97,0.46,678.0,1602.0
2024-08,2.23,0.5,840.0,2060.0
2024-09,2.7495472999999997,0.47629395,1131.0,2373.0
2024-10,2.8810979000000003,0.38149161,1108.0,2936.0
2024-11,3.5119860000000003,0.39502071,1634.0,3088.0
2024-12,5.089275148,0.40912877,2220.0,4181.0
2025-01,5.529430104999999,0.416237,2121.0,5108.0
2025-02,6.551525686999999,0.3101435,2568.0,5665.0
2025-03,8.335275414,0.2777985,3339.0,7292.0
2025-04,10.189639150000001,0.3666241,4220.0,8429.0
2025-05,12.2330989,0.37,0.0,0.0
2025-06,14.31,0.333,0.0,0.0
2025-07,17.204871,0.36,0.0,0.0
2025-08,18.177251151,0.28638283,7389.0,15069.0
2025-09,17.214000000000002,0.321,6675.0,0.0
2025-10,15.012,0.202,5432.0,16266.0
2025-11,17.597,0.4,5586.0,17979.0
2025-12,16.634600000000002,0.36,5222.0,18574.0
2026-01,16.075389160000004,0.2751,4635.0,18101.0
2026-02,5.6426265,0.0300154,1583.0,5636.0
2026-01,,,4635.0,18101.0
2026-02,,,1583.0,5636.0
