code,area,city,cabin,month,ntb_appt,show_pct,ntb_show
1001,Malad,MUM,3,2025-01,541,0.3808,206.0
1001,Malad,MUM,3,2025-02,621,0.182,113.0
1001,Malad,MUM,3,2025-03,476,0.2584,123.0
1001,Malad,MUM,3,2025-04,572,0.2972,170.0
1001,Malad,MUM,3,2025-05,567,0.3104,176.0
1001,Malad,MUM,3,2025-06,654,0.3517,230.0
1001,Malad,MUM,3,2025-07,693,0.329,228.0
1001,Malad,MUM,3,2025-08,615,0.2927,180.0
1001,Malad,MUM,3,2025-09,542,0.29,157.2
1001,Malad,MUM,3,2025-10,493,0.32,157.8
1001,Malad,MUM,3,2025-11,485,0.3,145.5
1001,Malad,MUM,3,2025-12,442,0.33,145.9
1001,Malad,MUM,3,2026-01,381,0.34,129.5
1007,Dadar,MUM,2,2025-01,430,0.1651,71.0
1007,Dadar,MUM,2,2025-02,829,0.1448,120.0
1007,Dadar,MUM,2,2025-03,485,0.1526,74.0
1007,Dadar,MUM,2,2025-04,604,0.1788,108.0
1007,Dadar,MUM,2,2025-05,630,0.2667,168.0
1007,Dadar,MUM,2,2025-06,605,0.3124,189.0
1007,Dadar,MUM,2,2025-07,855,0.2655,227.0
1007,Dadar,MUM,2,2025-08,732,0.235,172.0
1007,Dadar,MUM,2,2025-09,696,0.23,160.1
1007,Dadar,MUM,2,2025-10,672,0.26,174.7
1007,Dadar,MUM,2,2025-11,692,0.26,179.9
1007,Dadar,MUM,2,2025-12,556,0.25,139.0
1007,Dadar,MUM,2,2026-01,512,0.28,143.4
1004,Thane,THN,2,2025-01,498,0.1647,82.0
1004,Thane,THN,2,2025-02,522,0.1552,81.0
1004,Thane,THN,2,2025-03,585,0.2068,121.0
1004,Thane,THN,2,2025-04,697,0.2453,171.0
1004,Thane,THN,2,2025-05,649,0.3405,221.0
1004,Thane,THN,2,2025-06,757,0.3184,241.0
1004,Thane,THN,2,2025-07,782,0.2839,222.0
1004,Thane,THN,2,2025-08,545,0.2899,158.0
1004,Thane,THN,2,2025-09,486,0.27,131.2
1004,Thane,THN,2,2025-10,427,0.25,106.8
1004,Thane,THN,2,2025-11,498,0.23,114.5
1004,Thane,THN,2,2025-12,389,0.22,85.6
1004,Thane,THN,2,2026-01,372,0.24,89.3
1011,Virar,MUM,2,2025-01,298,0.2617,78.0
1011,Virar,MUM,2,2025-02,381,0.1522,58.0
1011,Virar,MUM,2,2025-03,294,0.2177,64.0
1011,Virar,MUM,2,2025-04,375,0.2213,83.0
1011,Virar,MUM,2,2025-05,358,0.2291,82.0
1011,Virar,MUM,2,2025-06,342,0.3187,109.0
1011,Virar,MUM,2,2025-07,452,0.3252,147.0
1011,Virar,MUM,2,2025-08,416,0.3438,143.0
1011,Virar,MUM,2,2025-09,353,0.37,130.6
1011,Virar,MUM,2,2025-10,364,0.29,105.6
1011,Virar,MUM,2,2025-11,396,0.29,114.8
1011,Virar,MUM,2,2025-12,299,0.3,89.7
1011,Virar,MUM,2,2026-01,310,0.32,99.2
1017,Kharghar,NVM,2,2025-01,265,0.234,62.0
1017,Kharghar,NVM,2,2025-02,349,0.1891,66.0
1017,Kharghar,NVM,2,2025-03,278,0.1619,45.0
1017,Kharghar,NVM,2,2025-04,337,0.2552,86.0
1017,Kharghar,NVM,2,2025-05,341,0.3578,122.0
1017,Kharghar,NVM,2,2025-06,336,0.3899,131.0
1017,Kharghar,NVM,2,2025-07,433,0.3649,158.0
1017,Kharghar,NVM,2,2025-08,357,0.3109,111.0
1017,Kharghar,NVM,2,2025-09,390,0.33,128.7
1017,Kharghar,NVM,2,2025-10,334,0.28,93.5
1017,Kharghar,NVM,2,2025-11,419,0.27,113.1
1017,Kharghar,NVM,2,2025-12,326,0.26,84.8
1017,Kharghar,NVM,2,2026-01,288,0.25,72.0
1047,Khadakpada,KLN,2,2025-07,104,0.3077,32.0
1047,Khadakpada,KLN,2,2025-08,437,0.3227,141.0
1047,Khadakpada,KLN,2,2025-09,417,0.33,137.6
1047,Khadakpada,KLN,2,2025-10,427,0.27,115.3
1047,Khadakpada,KLN,2,2025-11,479,0.25,119.8
1047,Khadakpada,KLN,2,2025-12,407,0.27,109.9
1047,Khadakpada,KLN,2,2026-01,361,0.22,79.4
1051,Mira Rd,THN,2,2025-08,46,0.5217,24.0
1051,Mira Rd,THN,2,2025-09,132,0.38,50.2
1051,Mira Rd,THN,2,2025-10,128,0.31,39.7
1051,Mira Rd,THN,2,2025-11,136,0.34,46.2
1051,Mira Rd,THN,2,2025-12,153,0.35,53.5
1051,Mira Rd,THN,2,2026-01,116,0.36,41.8
1002,Viman,PUN,2,2025-01,718,0.1838,132.0
1002,Viman,PUN,2,2025-02,729,0.1824,133.0
1002,Viman,PUN,2,2025-03,639,0.1862,119.0
1002,Viman,PUN,2,2025-04,413,0.2615,108.0
1002,Viman,PUN,2,2025-05,466,0.2618,122.0
1002,Viman,PUN,2,2025-06,548,0.2573,141.0
1002,Viman,PUN,2,2025-07,583,0.2624,153.0
1002,Viman,PUN,2,2025-08,589,0.2886,170.0
1002,Viman,PUN,2,2025-09,539,0.25,134.8
1002,Viman,PUN,2,2025-10,576,0.22,126.7
1002,Viman,PUN,2,2025-11,584,0.17,99.3
1002,Viman,PUN,2,2025-12,416,0.15,62.4
1002,Viman,PUN,2,2026-01,308,0.15,46.2
1029,PCMC,PUN,2,2025-03,43,0.2326,10.0
1029,PCMC,PUN,2,2025-04,307,0.2085,64.0
1029,PCMC,PUN,2,2025-05,371,0.3261,121.0
1029,PCMC,PUN,2,2025-06,483,0.3002,145.0
1029,PCMC,PUN,2,2025-07,570,0.3526,201.0
1029,PCMC,PUN,2,2025-08,588,0.2704,159.0
1029,PCMC,PUN,2,2025-09,496,0.31,153.8
1029,PCMC,PUN,2,2025-10,492,0.27,132.8
1029,PCMC,PUN,2,2025-11,577,0.26,150.0
1029,PCMC,PUN,2,2025-12,430,0.27,116.1
1029,PCMC,PUN,2,2026-01,396,0.3,118.8
1059,Kondhwa,PUN,2,2025-12,122,0.37,45.1
1059,Kondhwa,PUN,2,2026-01,236,0.14,33.0
