pincode,lat,lon
110001,28.63738,77.21823
110002,28.6453,77.2456
110003,28.59845,77.22527
110004,28.6453,77.2128
110005,28.65314,77.18878
110006,28.6453,77.2128
110007,28.6764,77.2074
110008,28.6453,77.2128
110009,28.7121,77.206
110010,28.74214,77.13985
110011,28.6109,77.1792
110012,28.6109,77.1792
110013,28.5878,77.2541
110014,28.6109,77.1792
110015,28.6109,77.1792
110016,28.5531,77.1916
110017,28.5189,77.2131
110018,28.6396,77.0884
110019,28.6109,77.1792
110020,28.5345,77.2779
110021,28.5818,77.1793
110022,28.5806,77.2201
110023,28.5806,77.2201
110024,28.57238,77.23647
110025,28.5672,77.2725
110026,28.6709,77.141
110027,28.5806,77.2201
110028,28.5806,77.2201
110029,28.565,77.1972
110030,28.52941,77.16367
110031,28.65481,77.27519
110032,28.67759,77.28871
110033,28.7192,77.1505
110034,28.7192,77.1505
110035,28.6772,77.1573
110036,28.81269,77.16158
110037,28.54798,77.1133
110038,28.7192,77.1505
110039,28.80499,77.03089
110040,28.84082,77.09389
110041,28.67353,77.01398
110042,28.7581,77.1309
110043,28.59946,76.98298
110044,28.5027,77.3084
110045,28.6035,77.0894
110046,28.6007,77.1087
110047,28.672,77.0637
110048,28.5638,77.2236
110049,28.672,77.0637
110050,28.681,77.247
110051,28.681,77.247
110052,28.681,77.247
110053,28.67209,77.27859
110054,28.6921,77.2245
110055,28.6417,77.2132
110056,28.681,77.247
110057,28.681,77.247
110058,28.681,77.247
110059,28.681,77.247
110060,28.5329,77.2004
110061,28.5346,77.0536
110062,28.50801,77.22939
110063,28.5329,77.2004
110064,28.5329,77.2004
110065,28.56192,77.25528
110066,28.5329,77.2004
110067,28.5553,77.1743
110068,28.53635,77.1165
110069,28.5329,77.2004
110070,28.5439,77.1523
110071,28.5458,77.0784
110072,28.6526,76.9521
110073,28.56535,76.91441
110074,28.4935,77.14132
110075,28.5458,77.0784
110076,28.525,77.3062
110077,28.5458,77.0784
110078,28.6081,77.0193
110080,28.7441,77.0732
110081,28.72991,76.99287
110082,28.7848,77.1046
110083,28.7441,77.0732
110084,28.74858,77.20962
110085,28.7201,77.1027
110086,28.7441,77.0732
110087,28.7441,77.0732
