Pincode,Total Quantity,Total,SubCity,City,State
110027.0,19586,13629580.0,New Delhi,Delhi,Delhi
201301.0,14780,11046464.0,Noida,Gautam Buddha Nagar,Uttar Pradesh
410206.0,13498,10916258.0,Panvel,Raigarh(MH),Maharashtra
401303.0,10447,7606010.0,Vasai,Mumbai,Maharashtra
208005.0,9837,7396000.0,Lajpat Nagar,Kanpur,Uttar Pradesh
401107.0,9425,7333830.0,Thane,Mumbai,Maharashtra
400064.0,8005,6606411.0,Malad West,Mumbai,Maharashtra
226010.0,7583,6280900.0,Lucknow,Lucknow,Uttar Pradesh
122001.0,7576,5503105.0,Mini Sectt.,Gurgaon,Haryana
452001.0,7561,5610700.0,Indore,Indore,Madhya Pradesh
401305.0,6459,4660568.0,Vasai,Mumbai,Maharashtra
411057.0,6344,5725488.19,Haveli,Pune,Maharashtra
400612.0,6291,4854450.0,Thane,Mumbai,Maharashtra
400097.0,6261,4889490.0,Malad East,Mumbai,Maharashtra
411014.0,6227,4905691.5,Pune,Pune,Maharashtra
143001.0,6104,4426708.5,Amritsar -I,Amritsar,Punjab
410210.0,6001,4686200.0,Panvel,Raigarh(MH),Maharashtra
492001.0,5965,4024730.0,Raipur,Raipur,Chhattisgarh
401208.0,5896,4181400.0,Vasai,Mumbai,Maharashtra
401209.0,5888,4292450.0,Vasai,Mumbai,Maharashtra
248001.0,5666,3722669.0,Dehradun,Dehradun,Uttarakhand
144004.0,5425,3380400.0,Jalandhar - I,Jalandhar,Punjab
410208.0,5107,4134960.0,Panvel,Raigarh(MH),Maharashtra
452010.0,5083,3840299.0,Indore,Indore,Madhya Pradesh
421301.0,4928,4075420.0,Kalyan,Mumbai,Maharashtra
208001.0,4821,3533800.0,Kanpur,Kanpur,Uttar Pradesh
560068.0,4600,3701410.0,Bangalore South,Bengaluru,Karnataka
110059.0,4525,3480625.0,New Delhi,Delhi,Delhi
400067.0,4448,3613810.0,Mumbai,Mumbai,Maharashtra
560066.0,4386,3175634.0,Bangalore South,Bengaluru,Karnataka
560078.0,4305,3501061.0,Bangalore South,Bengaluru,Karnataka
201019.0,4208,2851100.0,Ghaziabad,Ghaziabad,Uttar Pradesh
201002.0,4205,3022810.0,Ghaziabad,Ghaziabad,Uttar Pradesh
400709.0,4169,3321800.0,Mumbai,Mumbai,Maharashtra
421503.0,4155,3278249.0,Ambarnath,Mumbai,Maharashtra
560043.0,3925,3005575.0,Bangalore North,Bengaluru,Karnataka
421302.0,3924,3184300.0,Bhiwandi,Mumbai,Maharashtra
110092.0,3903,2959540.0,Delhi,Delhi,Delhi
400601.0,3897,2979628.0,Thane,Mumbai,Maharashtra
797112.0,3702,2506600.0,Dimapur Sadar,Dimapur,Nagaland
201306.0,3540,2624360.0,Dadri,Gautam Buddha Nagar,Uttar Pradesh
421201.0,3530,2790750.0,Kalyan,Mumbai,Maharashtra
208012.0,3518,2564400.0,Premnagar,Kanpur,Uttar Pradesh
250001.0,3477,2312600.0,Meerut,Meerut,Uttar Pradesh
560067.0,3448,2460601.0,Hosakote,Bengaluru,Karnataka
560037.0,3417,2472460.0,Bangalore North,Bengaluru,Karnataka
141001.0,3411,2369101.0,Ludhiana,Ludhiana,Punjab
282001.0,3346,2432020.0,Agra,Agra,Uttar Pradesh
400104.0,3329,2647145.0,Goregaon West,Mumbai,Maharashtra
411028.0,3299,2610603.1,Pune City,Pune,Maharashtra
560100.0,3299,2704901.0,Bangalore South,Bengaluru,Karnataka
121001.0,3296,2300159.0,Faridabad,Faridabad,Haryana
400101.0,3274,2490550.0,Kandivali East,Mumbai,Maharashtra
560087.0,3267,2396099.0,Bangalore North,Bengaluru,Karnataka
400078.0,3169,2427550.0,Mumbai,Mumbai,Maharashtra
412105.0,3167,2760513.52,Khed,Pune,Maharashtra
412207.0,3153,2541604.6,Daund,Pune,Maharashtra
395001.0,3109,2173800.0,Surat City,Surat,Gujarat
400028.0,3049,2250364.0,Mumbai,Mumbai,Maharashtra
201009.0,3044,2369509.0,Ghaziabad,Ghaziabad,Uttar Pradesh
400615.0,3041,2333650.3,Thane,Mumbai,Maharashtra
201017.0,2946,1996100.0,Ghaziabad,Ghaziabad,Uttar Pradesh
834001.0,2915,1963010.7,Ranchi,Ranchi,Jharkhand
395007.0,2892,1983280.0,Surat,Surat,Gujarat
400071.0,2889,2292000.0,Mumbai,Mumbai,Maharashtra
400070.0,2886,2075500.0,Chembur,Mumbai,Maharashtra
110024.0,2808,1936360.0,New Delhi,Delhi,Delhi
282002.0,2773,1988850.0,Agra,Agra,Uttar Pradesh
221010.0,2746,2293110.0,Varanasi,Varanasi,Uttar Pradesh
390019.0,2739,1876500.0,Vadodara,Vadodara,Gujarat
560076.0,2708,2207151.0,Bangalore South,Bengaluru,Karnataka
400701.0,2702,2105700.0,Rabale,Mumbai,Maharashtra
400095.0,2701,2007890.0,Malad West,Mumbai,Maharashtra
400098.0,2696,1980160.0,Mumbai,Mumbai,Maharashtra
401203.0,2676,1971700.0,Vasai,Mumbai,Maharashtra
144003.0,2674,1901400.0,Jalandhar - I,Jalandhar,Punjab
421306.0,2669,2284800.0,Kalyan,Mumbai,Maharashtra
500033.0,2665,2062169.07,Shaikpet,Hyderabad,Telangana
400053.0,2639,2024170.0,Mumbai,Mumbai,Maharashtra
400610.0,2612,1996500.0,Mumbai,Mumbai,Maharashtra
141003.0,2567,1789699.0,Ludhiana,Ludhiana,Punjab
400072.0,2530,1927099.0,Chembur,Mumbai,Maharashtra
110025.0,2496,1848390.0,New Delhi,Delhi,Delhi
400068.0,2475,2079130.0,Dahisar West,Mumbai,Maharashtra
560016.0,2423,1770450.0,Bangalore North,Bengaluru,Karnataka
110044.0,2395,1744120.0,New Delhi,Delhi,Delhi
421204.0,2385,1980070.0,Kalyan,Mumbai,Maharashtra
440024.0,2376,1766600.0,Nagpur,Nagpur,Maharashtra
400055.0,2333,1718400.0,Mumbai,Mumbai,Maharashtra
411033.0,2310,2038274.0,Pune City,Pune,Maharashtra
411027.0,2302,2280824.8,Pune City,Pune,Maharashtra
560049.0,2300,1727249.0,Bangalore South,Bengaluru,Karnataka
110053.0,2252,1620500.0,East Delhi,Delhi,Delhi
360001.0,2248,1612000.0,Rajkot,Rajkot,Gujarat
400706.0,2222,1740000.0,Thane,Mumbai,Maharashtra
395009.0,2212,1472600.0,Choryasi,Surat,Gujarat
400708.0,2210,1721199.0,Digha,Mumbai,Maharashtra
411046.0,2210,1889327.2,Haveli,Pune,Maharashtra
400060.0,2202,1659250.0,Jogeshwari East,Mumbai,Maharashtra
394210.0,2160,1486000.0,Udhna,Surat,Gujarat
400088.0,2138,1604149.1,Mumbai,Mumbai,Maharashtra
110062.0,2121,1498440.0,New Delhi,Delhi,Delhi
400066.0,2103,1698870.0,Borivali East,Mumbai,Maharashtra
160022.0,2093,1384000.0,Chandigarh,Chandigarh,Chandigarh
