City,total_orders,total_revenue,unique_pincodes
Mumbai,34189,58460260.93,352
Delhi,27478,47154519.54,114
Bengaluru,24854,43778966.66,244
Pune,15027,27452941.08,139
Hyderabad,13790,24776302.7,119
Gurgaon,6847,11920261.12,94
Gautam Buddha Nagar,6073,10758942.33,22
Ghaziabad,5779,10380965.16,34
Ahmedabad,5513,10105948.22,189
Lucknow,4899,9246101.04,183
Kolkata,4691,8307303.97,135
Goa,4518,8106592.55,88
Kamrup,4156,7430712.92,123
Jaipur,3513,6260200.67,115
North 24 Parganas,3461,6539833.77,127
Dehradun,3421,6322062.22,63
Nagpur,3393,6332833.25,62
Surat,3139,5936907.37,86
Vadodara,3127,5818782.82,73
Raigarh(MH),2876,5352938.42,53
Khorda,2763,5223018.65,80
Chennai,2716,4240823.82,88
Ludhiana,2683,4638739.34,70
Faridabad,2627,4703985.6,20
Indore,2529,4625247.43,32
Patna,2493,4627345.67,94
Chandigarh,2434,4270466.89,54
Bhopal,2268,4299236.55,92
Kanchipuram,2254,3689993.05,75
Papum Pare,2202,3883182.0,24
Darjiling,2160,3927708.12,52
Jammu,2144,3671871.9,42
Kanpur,2026,3871969.75,57
Imphal,1917,3496619.85,23
Jalandhar,1913,3401181.27,60
Nashik,1872,3457010.85,70
Amritsar,1865,3213553.14,121
East Khasi Hills,1751,2958486.51,34
Rupnagar,1710,3039697.4,19
Ranchi,1694,3287814.63,52
Dimapur,1681,2992376.13,8
Raipur,1627,3275167.78,76
Gandhi Nagar,1573,2959046.23,35
Rajkot,1388,2831861.26,39
South 24 Parganas,1380,2583390.92,58
East Sikkim,1356,2333841.59,16
Coimbatore,1284,1961718.3,111
Allahabad,1255,2459572.75,44
Varanasi,1239,2348167.78,36
Visakhapatnam,1225,2261999.93,99
Durg,1178,2398177.84,31
Tiruvallur,1172,1990539.14,51
East Singhbhum,1161,2284013.95,32
Meerut,1157,2134730.97,21
Jalaun,1151,1500221.4,13
Mysuru,1135,1953742.74,52
Valsad,1119,2167533.13,33
Jabalpur,1114,2117745.2,18
Patiala,1111,1954456.15,22
Mohali,1105,1928723.7,10
Gurdaspur,1071,1907529.2,35
Ernakulam,1069,1696105.4,124
Srinagar,1065,2108952.6,50
