pin_int,unique_1cx,total_orders,total_revenue
100081,1,1,1075.0
104601,1,1,875.0
110001,247,288,521286.55
110002,152,170,302369.5
110003,200,223,375134.7
110004,6,6,11930.0
110005,285,308,543178.63
110006,205,221,416851.35
110007,334,365,629034.53
110008,321,359,589606.93
110009,481,529,805222.6
110010,195,211,393763.7
110011,46,48,100743.2
110012,70,75,115595.05
110013,35,39,71449.2
110014,212,234,369993.85
110015,426,482,786868.99
110016,210,245,370989.75
110017,575,643,1073764.52
110018,812,906,1493158.88
110019,548,594,960674.6
110020,102,111,171354.6
110021,131,148,232034.3
110022,74,86,148305.2
110023,105,117,193583.44
110024,290,328,493278.09
110025,487,537,960959.1
110026,163,183,263217.65
110027,379,432,699212.17
110028,100,115,193506.8
110029,210,238,358354.55
110030,391,443,849024.74
110031,192,204,398167.1
110032,473,528,962768.85
110033,264,288,543400.2
110034,622,674,1083857.4
110035,181,209,381849.8
110036,80,88,155987.6
110037,193,212,341236.95
110038,29,31,53454.0
110039,76,83,139304.4
110040,129,144,264438.89
110041,260,280,524803.0
110042,155,168,291480.85
110043,381,410,780535.05
110044,307,343,685303.8
110045,502,554,1036449.55
110046,240,259,476809.15
110047,118,130,245993.05
110048,255,286,463186.94
110049,265,305,509351.95
110050,1,1,575.0
110051,304,336,549031.75
110052,340,376,597963.2
110053,322,357,623334.0
110054,127,143,251193.9
110055,104,113,202711.6
110056,15,15,21801.1
110057,96,112,174377.78
110058,368,399,663949.85
110059,1362,1508,2755299.75
110060,124,144,214563.2
110061,33,37,64212.6
110062,389,431,745371.4
110063,315,345,538895.2
110064,216,236,377309.35
110065,227,257,411516.6
110066,53,58,97600.8
110067,174,189,324199.6
110068,199,229,389348.79
110069,3,3,7164.1
110070,503,573,926576.04
110071,67,74,146047.08
110072,28,30,52415.1
110073,27,30,57488.0
110074,272,307,526140.35
110075,583,658,1078257.16
110076,111,127,225040.35
110077,346,386,712636.52
110078,332,373,652073.82
110079,3,3,6285.0
110080,109,118,233980.85
110081,81,83,166000.7
110082,27,30,43952.35
110083,60,63,94054.1
110084,356,387,711560.8
110085,980,1095,1867389.48
110086,281,302,553031.75
110087,193,217,350835.1
110088,246,270,456185.65
110089,226,241,400875.3
110090,18,18,33835.1
110091,416,467,829738.75
110092,1158,1277,2146722.15
110093,211,230,422542.19
110094,230,254,487522.39
110095,245,270,460369.84
110096,362,408,630613.35
110097,2,2,5350.0
110106,1,1,2400.0
110119,1,1,2125.0
110608,1,1,1875.0
110827,1,1,1700.0
110915,1,1,2249.0
110924,1,1,2299.0
110927,1,1,699.0
110952,1,1,699.0
110967,1,1,5000.0
110996,1,1,1799.0
111002,1,1,2050.0
112047,1,1,1200.0
112205,1,1,1475.0
119984,1,1,1475.0
120001,5,5,7428.0
120002,2,2,500.0
120004,1,2,1800.0
120010,2,3,5400.0
120011,1,1,3199.0
120017,2,2,3764.0
120018,7,9,13388.1
120135,1,1,1875.0
120221,1,1,2299.0
120366,1,1,6000.0
120701,1,2,2775.0
121000,1,1,1945.0
121001,468,505,911304.0
121002,413,448,757883.8
121003,305,345,649212.45
121004,288,323,602395.95
121005,155,169,339588.0
121006,176,198,368690.25
121007,100,114,179601.7
121008,74,87,147325.4
121009,66,73,117342.2
121010,95,109,184902.0
121011,1,1,1800.0
121012,20,22,36771.0
121013,20,20,33861.0
121014,1,1,0.0
121015,2,2,764.0
121018,1,1,900.0
121019,1,1,1800.0
121094,1,1,3800.0
121101,19,22,36886.1
121102,131,143,257790.5
121103,8,10,14778.0
121105,9,9,18090.1
121106,21,24,40584.15
121107,3,3,6215.0
121304,1,1,3890.0
121726,1,1,1675.0
122001,1580,1748,3162937.3
122002,713,819,1328258.09
122003,456,531,927494.4
122004,381,436,772812.45
122005,31,34,62828.85
122006,196,221,414669.45
122007,15,16,37830.83
122008,46,50,81290.25
122009,165,180,283260.0
122010,52,55,96425.2
122011,264,298,477493.45
122012,21,26,46946.5
122013,1,1,1980.0
122015,75,84,140433.75
122016,86,101,185404.4
122017,423,499,909587.65
122018,529,585,904438.65
122021,5,5,11355.0
122022,113,134,218252.55
122023,1,1,399.0
122028,1,1,1200.0
122032,1,1,5075.0
122048,1,1,3960.0
122050,43,52,93884.0
122051,59,64,143662.3
122052,20,23,36758.0
122055,2,2,2300.0
122101,214,246,403787.55
122102,120,130,253265.2
122103,71,78,164285.55
122104,2,2,1729.0
122105,16,16,23029.1
122106,1,1,2975.0
122107,16,17,34597.2
122108,6,6,13075.0
122110,1,1,965.0
122201,1,2,1800.0
122208,1,1,2075.0
122413,31,32,57957.25
122414,5,5,5144.0
122502,4,4,6749.0
122503,24,24,47715.3
122504,12,13,22294.0
122505,205,243,429074.05
122506,27,27,46742.0
122508,6,7,14633.1
122918,1,1,399.0
123001,65,68,127552.45
123004,1,1,1800.0
123017,1,1,1920.0
123021,17,19,36543.0
123023,3,3,10790.0
123024,3,3,4224.0
123027,7,9,14265.0
123028,3,3,5735.0
123029,22,24,39566.1
123034,4,4,7255.83
123035,9,9,15753.0
123101,3,3,6525.0
123102,6,7,14469.1
123103,5,5,8974.0
123106,49,55,114991.6
123110,5,6,7604.0
123301,2,2,3174.0
123302,10,10,18497.0
123303,6,6,8649.0
123401,219,241,443863.15
123411,13,15,27609.1
123501,19,20,38518.0
123505,1,1,2075.0
123821,1,1,3599.1
124001,441,472,896242.95
124002,4,4,8000.0
124003,1,1,2975.0
124004,2,2,2553.15
124010,3,3,10025.0
124021,18,18,49442.0
124076,1,2,3800.0
124102,4,4,7525.0
124103,52,63,123291.2
124104,3,3,4289.0
124105,10,11,25513.0
124106,16,17,22209.0
124107,7,9,21854.0
124108,5,5,10752.0
124109,10,11,27927.0
