year,Zip,City,State,orders,revenue
2020,11208,International,International,1,1400.0
2020,110001,Delhi,Delhi,13,18291.0
2020,110002,Delhi,Delhi,8,12990.0
2020,110003,Delhi,Delhi,10,14000.0
2020,110005,Delhi,Delhi,12,20600.0
2020,110006,Delhi,Delhi,12,18400.0
2020,110007,Delhi,Delhi,22,35390.0
2020,110008,Delhi,Delhi,22,34401.0
2020,110009,Delhi,Delhi,21,33100.0
2020,110010,Delhi,Delhi,11,17680.0
2020,110012,Delhi,Delhi,4,6200.0
2020,110014,Delhi,Delhi,16,22800.0
2020,110015,Delhi,Delhi,23,35380.0
2020,110016,Delhi,Delhi,9,14560.0
2020,110017,Delhi,Delhi,24,34559.0
2020,110018,Delhi,Delhi,49,73150.0
2020,110019,Delhi,Delhi,37,38383.0
2020,110020,Delhi,Delhi,4,6600.0
2020,110021,Delhi,Delhi,4,6200.0
2020,110022,Delhi,Delhi,6,9200.0
2020,110023,Delhi,Delhi,2,2900.0
2020,110024,Delhi,Delhi,12,19200.0
2020,110025,Delhi,Delhi,27,32198.0
2020,110026,Delhi,Delhi,10,15100.0
2020,110027,Delhi,Delhi,10,16100.0
2020,110028,Delhi,Delhi,7,11190.0
2020,110029,Delhi,Delhi,20,27690.0
2020,110030,Delhi,Delhi,19,28600.0
2020,110031,Delhi,Delhi,11,17600.0
2020,110032,Delhi,Delhi,16,26480.0
2020,110033,Delhi,Delhi,8,13190.0
2020,110034,Delhi,Delhi,21,36380.0
2020,110035,Delhi,Delhi,12,21390.0
2020,110036,Delhi,Delhi,2,3200.0
2020,110037,Delhi,Delhi,14,20060.0
2020,110038,Delhi,Delhi,1,1800.0
2020,110039,Delhi,Delhi,2,3190.0
2020,110040,Delhi,Delhi,6,7590.0
2020,110041,Delhi,Delhi,18,26390.0
2020,110042,Delhi,Delhi,9,13680.0
2020,110043,Delhi,Delhi,19,30800.0
2020,110044,Delhi,Delhi,5,7190.0
2020,110045,Delhi,Delhi,26,37890.0
2020,110046,Delhi,Delhi,10,16300.0
2020,110047,Delhi,Delhi,6,9100.0
2020,110048,Delhi,Delhi,12,17090.0
2020,110049,Delhi,Delhi,18,24193.0
2020,110051,Delhi,Delhi,14,21400.0
2020,110052,Delhi,Delhi,11,18790.0
2020,110053,Delhi,Delhi,13,19160.0
2020,110054,Delhi,Delhi,10,16100.0
2020,110055,Delhi,Delhi,3,5400.0
2020,110057,Delhi,Delhi,9,14500.0
2020,110058,Delhi,Delhi,11,17990.0
2020,110059,Delhi,Delhi,63,93290.0
2020,110060,Delhi,Delhi,5,6800.0
2020,110061,Delhi,Delhi,1,1800.0
2020,110062,Delhi,Delhi,19,28100.0
2020,110063,Delhi,Delhi,19,29800.0
2020,110064,Delhi,Delhi,12,18300.0
2020,110065,Delhi,Delhi,10,15450.0
2020,110066,Delhi,Delhi,5,6791.0
2020,110067,Delhi,Delhi,13,20090.0
2020,110068,Delhi,Delhi,12,18000.0
2020,110070,Delhi,Delhi,29,41980.0
2020,110074,Delhi,Delhi,13,20100.0
2020,110075,Delhi,Delhi,33,53990.0
2020,110076,Delhi,Delhi,9,14690.0
2020,110077,Delhi,Delhi,17,27790.0
2020,110078,Delhi,Delhi,19,29291.0
2020,110080,Delhi,Delhi,2,3200.0
2020,110081,Delhi,Delhi,6,9800.0
2020,110083,Delhi,Delhi,1,1800.0
2020,110084,Delhi,Delhi,16,25090.0
2020,110085,Delhi,Delhi,53,83070.0
2020,110086,Delhi,Delhi,17,27350.0
2020,110087,Delhi,Delhi,10,14400.0
2020,110088,Delhi,Delhi,10,16300.0
2020,110089,Delhi,Delhi,8,13190.0
2020,110091,Delhi,Delhi,15,24400.0
2020,110092,Delhi,Delhi,49,76062.0
